Moscow subway

http://en.wikipedia.org/wiki/Moscow_Metro


Line 1
		
S01	Ulitsa Podbelskogo
S02	Cherkizovskaya
S03	Preobrazhenskaya Ploshchad
S04	Sokolniki
S05	Krasnoselskaya
S06	Komsomolskaya		
S07	Krasniye Vorota
S08	Chistiye Prudy
S09	Lubyanka
S10	Okhotnyi Ryad
S11	Biblioteka Imeni Lenina
S12	Kropotkinskaya
S13	Park Kultury
S14	Frunzenskaya
S15	Sportivnaya
S16	Vorobyovy Gory
S17	Universitet
S18	Prospekt Vernadskogo
S19	Yugo-Zapadnaya

Line 2

Z01	Rechnoi Vokzal
Z02	Vodny Stadion
Z03	Voykovskaya
Z04	Sokol
Z05	Aeroport
Z06	Dinamo
Z07	Belorusskaya
Z08	Mayakovskaya
Z09	Tverskaya
Z10	Teatralnaya
Z11	Novokuznetskaya
Z12	Paveletskaya
Z13	Avtozavodskaya
Z14	Tekhnopark
Z15	Kolomenskaya
Z16	Kashirskaya
Z17	Kantemirovskaya
Z18	Tsaritsyno
Z19	Orekhovo
Z20	Domodedovskaya
Z21	Krasnogvardeyskaya
Z22	Brateyevo

Line 3
	
A01	Shchyolkovskaya
A02	Pervomayskaya
A03	Izmaylovskaya
A04	Pervomayskaya (closed)
A05	Partizanskaya
A06	Semyonovskaya
A07	Elektrozavodskaya
A08	Baumanskaya
A09	Kurskaya
A10	Ploshchad Revolyutsii
A11	Arbatskaya
A12	Smolenskaya
A13	Kiyevskaya
A14	Park Pobedy
A15	Slavyansky Bulvar
A16	Kuntsevskaya
A17	Molodyozhnaya
A18	Krylatskoe
A19	Troitse Lykovo
A20	Strogino
A21	Myakinino
A22	Volokolamskaya
A23	Mitino
A24	Rozhdestveno

Line 4
	
F01	Kuntsevskaya
F02	Pionerskaya
F03	Filyovsky Park
F04	Bagrationovskaya
F05	Fili
F06	Kutuzovskaya
F07	Studencheskaya
F08	Mezhdunarodnaya
F09	Vystavochnaya
F10	Kiyevskaya
F11	Smolenskaya
F12	Arbatskaya
F13	Alexandrovsky Sad

Line 5

K01	Park Kultury
K02	Oktyabrskaya
K03	Dobryninskaya
K04	Paveletskaya
K05	Taganskaya
K06	Kurskaya
K07	Komsomolskaya
K08	Prospekt Mira
K09	Ploshchad Suvorova
K10	Novoslobodskaya
K11	Belorusskaya
K12	Krasnopresnenskaya
K13	Rossiyskaya
K14	Kiyevskaya

Line 6

KR01	Chelobit'yevo
KR02	Medvedkovo
KR03	Babushkinskaya
KR04	Sviblovo
KR05	Botanichesky Sad
