Altufyevo	Bibirevo
Bibirevo	Otradnoye
Otradnoye	Vladykino
Vladykino	Petrovsko-Razumovskaya
Petrovsko-Razumovskaya	Timiryazevskaya
Timiryazevskaya	Dmitrovskaya
Dmitrovskaya	Savyolovskaya
Savyolovskaya	Mendeleyevskaya-Novoslobodskaya
Mendeleyevskaya-Novoslobodskaya	Trubnaya-TsvetnoyBulvar
Trubnaya-TsvetnoyBulvar	Chekhovskaya-Pushkinskaya-Tverskaya
Chekhovskaya-Pushkinskaya-Tverskaya	AlexandrovskySad-Arbatskaya-BibliotekaImeniLenina-Borovitskaya
AlexandrovskySad-Arbatskaya-BibliotekaImeniLenina-Borovitskaya	Polyanka
Polyanka	Dobryninskaya-Serpukhovskaya
Dobryninskaya-Serpukhovskaya	Tulskaya
Tulskaya	Nagatinskaya
Nagatinskaya	Nagornaya
Nagornaya	NakhimovskyProspekt
NakhimovskyProspekt	Kakhovskaya-Sevastopolskaya
Kakhovskaya-Sevastopolskaya	Chertanovskaya
Chertanovskaya	Yuzhnaya
Yuzhnaya	Prazhskaya
Prazhskaya	UlitsaAkademikaYangelya
UlitsaAkademikaYangelya	Annino
Annino	BulvarDmitriyaDonskogo-UlitsaStarokachalovskaya
