Shchyolkovskaya	Pervomayskaya
Pervomayskaya	Izmaylovskaya
Izmaylovskaya	Pervomayskaya(closed)
Pervomayskaya(closed)	Partizanskaya
Partizanskaya	Semyonovskaya
Semyonovskaya	Elektrozavodskaya
Elektrozavodskaya	Baumanskaya
Baumanskaya	Chkalovskaya-Kurskaya
Chkalovskaya-Kurskaya	OkhotnyiRyad-PloshchadRevolyutsii-Teatralnaya
OkhotnyiRyad-PloshchadRevolyutsii-Teatralnaya	AlexandrovskySad-Arbatskaya-BibliotekaImeniLenina-Borovitskaya
AlexandrovskySad-Arbatskaya-BibliotekaImeniLenina-Borovitskaya	Smolenskaya-L3
Smolenskaya-L3	Kiyevskaya
Kiyevskaya	ParkPobedy
ParkPobedy	SlavyanskyBulvar
SlavyanskyBulvar	Kuntsevskaya
Kuntsevskaya	Molodyozhnaya
Molodyozhnaya	Krylatskoe
Krylatskoe	TroitseLykovo
TroitseLykovo	Strogino
Strogino	Myakinino
Myakinino	Volokolamskaya
Volokolamskaya	Mitino
Mitino	Rozhdestveno
