Line	Date
Line 1	1904
Line 1	1906
Line 1	1907
Line 1	1908
Line 1	1911
Line 1	1918
Line 1	2009
Line 2	1904
Line 2	1905
Line 2	1908
Line 2	1917
Line 2	1918
Line 2	1919
Line 2	1920
Line 2	1922
Line 3	1904
Line 3	1908
Line 3	1918
Line 3	1919
Line 3	1920
Line 3	1922
Line 3	1968
Line 4	1904
Line 4	1905
Line 4	1908
Line 4	1917
Line 4	1918
Line 4	1920
Line 4	1922
Line 5	1904
Line 5	1905
Line 5	1908
Line 5	1917
Line 5	1918
Line 5	1920
Line 5	1922
Line 5	1941
Line 6	1904
Line 6	1918
Line 6	1919
Line 6	1920
Line 7	1915
Line 7	1916
Line 7	1917
Line 7	1925
Line 7	1926
Line 7	1927
Line 7	1928
Line A	1915
Line A	1932
Line A	1933
Line A	1936
Line A	1946
Line A	1948
Line A	1956
Line A	1958
Line B	1878
Line B	1908
Line B	1920
Line B	1932
Line B	1933
Line B	1936
Line B	1940
Line B	1967
Line C	1932
Line C	1933
Line C	1936
Line C	1946
Line C	1948
Line D	1915
Line D	1916
Line D	1917
Line D	1919
Line D	1932
Line D	1933
Line D	1936
Line D	1940
Line D	1967
Line E	1932
Line E	1933
Line E	1936
Line E	1937
Line E	1939
Line E	1950
Line E	1988
Line F	1919
Line F	1920
Line F	1933
Line F	1936
Line F	1937
Line F	1940
Line F	1950
Line F	1968
Line F	1989
Line G	1933
Line G	1936
Line G	1937
Line J	1885
Line J	1888
Line J	1893
Line J	1908
Line J	1913
Line J	1917
Line J	1918
Line J	1931
Line J	1988
Line L	1906
Line L	1924
Line L	1928
Line L	1931
Line M	1888
Line M	1889
Line M	1908
Line M	1913
Line M	1915
Line M	1916
Line M	1920
Line M	1931
Line N	1915
Line N	1917
Line N	1918
Line N	1919
Line N	1920
Line Q	1878
Line Q	1900
Line Q	1907
Line Q	1908
Line Q	1917
Line Q	1918
Line Q	1919
Line Q	1920
Line R	1915
Line R	1916
Line R	1917
Line R	1918
Line R	1919
Line R	1920
Line R	1925
Line R	1933
Line R	1936
Line S	1904
Line S1	1878
Line S1	1896
Line S1	1900
Line S1	1920
Line S2	1956
Line V	1933
Line V	1936
Line V	1939
Line V	1940
Line W	1917
Line W	1918
Line W	1919
Line Z	1885
Line Z	1888
Line Z	1893
Line Z	1908
Line Z	1913
Line Z	1917
Line Z	1918
Line Z	1931
Line Z	1988
