Wakefield241stStreet	NereidAvenue
NereidAvenue	233rdStreet
233rdStreet	225thStreet
225thStreet	219thStreet
219thStreet	GunHillRoad25
GunHillRoad25	BurkeAvenue
BurkeAvenue	AllertonAvenue
AllertonAvenue	PelhamParkway25
PelhamParkway25	BronxParkEast
BronxParkEast	East180thStreet
East180thStreet	WestFarmsSquareEastTremontAvenue
WestFarmsSquareEastTremontAvenue	174thStreet
174thStreet	FreemanStreet
FreemanStreet	SimpsonStreet
SimpsonStreet	IntervaleAvenue
IntervaleAvenue	ProspectAvenue25
ProspectAvenue25	JacksonAvenue
JacksonAvenue	ThirdAvenue149thStreet
ThirdAvenue149thStreet	149thStreetGrandConcourse
149thStreetGrandConcourse	135thStreet23
135thStreet23	125thStreet23
125thStreet23	116thStreet23
116thStreet23	CentralParkNorth110thStreet
CentralParkNorth110thStreet	96thStreet123
96thStreet123	86thStreet12
86thStreet12	79thStreet12
79thStreet12	72ndStreet123
72ndStreet123	66thStreetLincolnCenter
66thStreetLincolnCenter	59thStreetColumbusCircle
59thStreetColumbusCircle	50thStreet12
50thStreet12	TimesSquare_42ndStreet
TimesSquare_42ndStreet	34thStreetPennStation123
34thStreetPennStation123	28thStreet12
28thStreet12	23rdStreet12
23rdStreet12	18thStreet
18thStreet	14thStreet123
14thStreet123	ChristopherStreetSheridanSquare
ChristopherStreetSheridanSquare	HoustonStreet
HoustonStreet	CanalStreet12
CanalStreet12	FranklinStreet
FranklinStreet	ChambersStreet123
ChambersStreet123	ParkPlace23
ParkPlace23	FultonStreet_BroadwayNassauStreet
FultonStreet_BroadwayNassauStreet	WallStreet23
WallStreet23	ClarkStreet
ClarkStreet	CourtStreet_BoroughHall
CourtStreet_BoroughHall	HoytStreetFultonMall
HoytStreetFultonMall	NevinsStreet
NevinsStreet	AtlanticAvenue_PacificStreet
AtlanticAvenue_PacificStreet	BergenStreet234
BergenStreet234	GrandArmyPlaza
GrandArmyPlaza	EasternParkwayBrooklynMuseum
EasternParkwayBrooklynMuseum	FranklinAvenue_BotanicGarden
FranklinAvenue_BotanicGarden	PresidentStreet
PresidentStreet	SterlingStreet
SterlingStreet	WinthropStreet
WinthropStreet	ChurchAvenue25
ChurchAvenue25	BeverlyRoad
BeverlyRoad	NewkirkAvenue25
NewkirkAvenue25	BrooklynCollegeFlatbushAvenue
