Woodlawn	MosholuParkway
MosholuParkway	BedfordParkBoulevardLehmanCollege
BedfordParkBoulevardLehmanCollege	KingsbridgeRoad4
KingsbridgeRoad4	FordhamRoad4
FordhamRoad4	183rdStreet
183rdStreet	BurnsideAvenue
BurnsideAvenue	176thStreet
176thStreet	MountEdenAvenue
MountEdenAvenue	170thStreet4
170thStreet4	167thStreet
167thStreet	161stStreetYankeeStadium
161stStreetYankeeStadium	149thStreetGrandConcourse
149thStreetGrandConcourse	138thStreetGrandConcourse
138thStreetGrandConcourse	125thStreet456
125thStreet456	116thStreet46
116thStreet46	110thStreet
110thStreet	103rdStreet46
103rdStreet46	96thStreet46
96thStreet46	86thStreet456
86thStreet456	77thStreet46
77thStreet46	68thStreetHunterCollege
68thStreetHunterCollege	LexingtonAvenue_59thStreet
LexingtonAvenue_59thStreet	51stStreet
51stStreet	GrandCentral_42ndStreet
GrandCentral_42ndStreet	33rdStreet
33rdStreet	28thStreet46
28thStreet46	23rdStreet46
23rdStreet46	14thStreetUnionSquare
14thStreetUnionSquare	AstorPlace
AstorPlace	BleeckerStreet
BleeckerStreet	SpringStreet46
SpringStreet46	CanalStreet46X
CanalStreet46X	BrooklynBridgeCityHall
BrooklynBridgeCityHall	FultonStreet_BroadwayNassauStreet
FultonStreet_BroadwayNassauStreet	WallStreet45
WallStreet45	BowlingGreen
BowlingGreen	CourtStreet_BoroughHall
CourtStreet_BoroughHall	NevinsStreet
NevinsStreet	AtlanticAvenue_PacificStreet
AtlanticAvenue_PacificStreet	BergenStreet234
BergenStreet234	GrandArmyPlaza
GrandArmyPlaza	EasternParkwayBrooklynMuseum
EasternParkwayBrooklynMuseum	FranklinAvenue_BotanicGarden
FranklinAvenue_BotanicGarden	NostrandAvenue2345
NostrandAvenue2345	KingstonAvenue
KingstonAvenue	CrownHeightsUticaAvenue
CrownHeightsUticaAvenue	SutterAvenueRutlandRoad
SutterAvenueRutlandRoad	SaratogaAvenue
SaratogaAvenue	RockawayAvenue2345
RockawayAvenue2345	JuniusStreet
JuniusStreet	PennsylvaniaAvenue
PennsylvaniaAvenue	VanSiclenAvenue2345
VanSiclenAvenue2345	NewLotsAvenue2345
