EastchesterDyreAvenue	BaychesterAvenue
BaychesterAvenue	GunHillRoad5
GunHillRoad5	PelhamParkway5
PelhamParkway5	MorrisPark
MorrisPark	East180thStreet
NereidAvenue	233rdStreet
233rdStreet	225thStreet
225thStreet	219thStreet
219thStreet	GunHillRoad25
GunHillRoad25	BurkeAvenue
BurkeAvenue	AllertonAvenue
AllertonAvenue	PelhamParkway25
PelhamParkway25	BronxParkEast
BronxParkEast	East180thStreet
East180thStreet	WestFarmsSquareEastTremontAvenue
WestFarmsSquareEastTremontAvenue	174thStreet
174thStreet	FreemanStreet
FreemanStreet	SimpsonStreet
SimpsonStreet	IntervaleAvenue
IntervaleAvenue	ProspectAvenue25
ProspectAvenue25	JacksonAvenue
JacksonAvenue	ThirdAvenue149thStreet
ThirdAvenue149thStreet	149thStreetGrandConcourse
149thStreetGrandConcourse	138thStreetGrandConcourse
138thStreetGrandConcourse	125thStreet456
125thStreet456	86thStreet456
86thStreet456	LexingtonAvenue_59thStreet
LexingtonAvenue_59thStreet	GrandCentral_42ndStreet
GrandCentral_42ndStreet	14thStreetUnionSquare
14thStreetUnionSquare	BrooklynBridgeCityHall
BrooklynBridgeCityHall	FultonStreet_BroadwayNassauStreet
FultonStreet_BroadwayNassauStreet	WallStreet45
WallStreet45	BowlingGreen
BowlingGreen	CourtStreet_BoroughHall
CourtStreet_BoroughHall	NevinsStreet
NevinsStreet	AtlanticAvenue_PacificStreet
AtlanticAvenue_PacificStreet	FranklinAvenue_BotanicGarden
FranklinAvenue_BotanicGarden	PresidentStreet
PresidentStreet	SterlingStreet
SterlingStreet	WinthropStreet
WinthropStreet	ChurchAvenue25
ChurchAvenue25	BeverlyRoad
BeverlyRoad	NewkirkAvenue25
NewkirkAvenue25	BrooklynCollegeFlatbushAvenue
