ForestHills71stAvenue	67thAvenue
67thAvenue	63rdDriveRegoPark
63rdDriveRegoPark	WoodhavenBoulevardEGRV
WoodhavenBoulevardEGRV	GrandAvenueNewtown
GrandAvenueNewtown	ElmhurstAvenue
ElmhurstAvenue	RooseveltAvenue_74thStreet
RooseveltAvenue_74thStreet	65thStreet
65thStreet	NorthernBoulevard
NorthernBoulevard	46thStreet
46thStreet	SteinwayStreet
SteinwayStreet	36thStreetEGRV
36thStreetEGRV	QueensPlaza
QueensPlaza	LexingtonAvenue_59thStreet
LexingtonAvenue_59thStreet	FifthAvenue_59thStreet
FifthAvenue_59thStreet	57thStreetNQRW
57thStreetNQRW	49thStreet
49thStreet	TimesSquare_42ndStreet
TimesSquare_42ndStreet	34thStreetHeraldSquare
34thStreetHeraldSquare	28thStreetNRW
28thStreetNRW	23rdStreetNRW
23rdStreetNRW	14thStreetUnionSquare
14thStreetUnionSquare	EighthStreetNYU
EighthStreetNYU	PrinceStreet
PrinceStreet	CanalStreet46X
CanalStreet46X	CityHall
CityHall	CortlandtStreetNRW
CortlandtStreetNRW	RectorStreetNRW
RectorStreetNRW	SouthFerry_WhitehallStreet
SouthFerry_WhitehallStreet	CourtStreet_BoroughHall
CourtStreet_BoroughHall	LawrenceStreetMetroTech
LawrenceStreetMetroTech	DeKalbAvenueX
DeKalbAvenueX	AtlanticAvenue_PacificStreet
AtlanticAvenue_PacificStreet	UnionStreet
UnionStreet	FourthAvenue_NinthStreet
FourthAvenue_NinthStreet	ProspectAvenueDMNR
ProspectAvenueDMNR	25thStreet
25thStreet	36thStreetDMNR
36thStreetDMNR	45thStreet
45thStreet	53rdStreet
53rdStreet	59thStreet
59thStreet	BayRidgeAvenue
BayRidgeAvenue	77thStreetR
77thStreetR	86thStreetR
86thStreetR	BayRidge95thStreet
