AstoriaDitmarsBoulevard	AstoriaBoulevard
AstoriaBoulevard	30thAvenue
30thAvenue	BroadwayNW
BroadwayNW	36thAvenue
36thAvenue	39thAvenue
39thAvenue	QueensboroPlaza
QueensboroPlaza	LexingtonAvenue_59thStreet
LexingtonAvenue_59thStreet	FifthAvenue_59thStreet
FifthAvenue_59thStreet	57thStreetNQRW
57thStreetNQRW	49thStreet
49thStreet	TimesSquare_42ndStreet
TimesSquare_42ndStreet	34thStreetHeraldSquare
34thStreetHeraldSquare	28thStreetNRW
28thStreetNRW	23rdStreetNRW
23rdStreetNRW	14thStreetUnionSquare
14thStreetUnionSquare	EighthStreetNYU
EighthStreetNYU	PrinceStreet
PrinceStreet	CanalStreet46X
CanalStreet46X	CityHall
CityHall	CortlandtStreetNRW
CortlandtStreetNRW	RectorStreetNRW
RectorStreetNRW	SouthFerry_WhitehallStreet
