JamaicaCenterParsons_Archer	SutphinBoulevardArcherAvenueJFKAirport
SutphinBoulevardArcherAvenueJFKAirport	121stStreet
121stStreet	111thStreetJZ
111thStreetJZ	104thStreetJZ
104thStreetJZ	WoodhavenBoulevardJZ
WoodhavenBoulevardJZ	85thStreetForestParkway
85thStreetForestParkway	75thStreet
75thStreet	CypressHills
CypressHills	CrescentStreet
CrescentStreet	NorwoodAvenue
NorwoodAvenue	ClevelandStreet
ClevelandStreet	VanSiclenAvenueJZ
VanSiclenAvenueJZ	AlabamaAvenue
AlabamaAvenue	BroadwayJunction
BroadwayJunction	ChaunceyStreet
ChaunceyStreet	HalseyStreetJZ
HalseyStreetJZ	GatesAvenue
GatesAvenue	KosciuszkoStreet
KosciuszkoStreet	MyrtleAvenue
MyrtleAvenue	FlushingAvenueJMZ
FlushingAvenueJMZ	LorimerStreetJMZ
LorimerStreetJMZ	HewesStreet
HewesStreet	MarcyAvenue
MarcyAvenue	DelanceyStreetEssexStreet
DelanceyStreetEssexStreet	Bowery
Bowery	CanalStreet46X
CanalStreet46X	ChambersStreetJMZ
ChambersStreetJMZ	FultonStreet_BroadwayNassauStreet
FultonStreet_BroadwayNassauStreet	BroadStreet
