Name	Latitude	Longitude	OpeningYearOfStation
149thStreetGrandConcourse	40.818	-73.927	1905
149thStreetGrandConcourse	40.818	-73.927	1917
14thStreetUnionSquare	40.734722	-73.990278	1904
14thStreetUnionSquare	40.734722	-73.990278	1917
14thStreetUnionSquare	40.734722	-73.990278	1924
161stStreetYankeeStadium	40.827937	-73.925886	1917
161stStreetYankeeStadium	40.827937	-73.925886	1933
167thStreet	40.835665	-73.921337	1917
167thStreet	40.835665	-73.921337	1933
168thStreet	40.841022	-73.939791	1906
168thStreet	40.841022	-73.939791	1932
34thStreetHeraldSquare	40.749338	-73.987985	1918
34thStreetHeraldSquare	40.749338	-73.987985	1940
59thStreetColumbusCircle	40.767997	-73.981934	1904
59thStreetColumbusCircle	40.767997	-73.981934	1932
AtlanticAvenue_PacificStreet	40.684462	-73.978758	1908
AtlanticAvenue_PacificStreet	40.684462	-73.978758	1915
AtlanticAvenue_PacificStreet	40.684462	-73.978758	1920
BroadwayJunction	40.678919	-73.903453	1885
BroadwayJunction	40.678919	-73.903453	1928
BroadwayJunction	40.678919	-73.903453	1946
CanalStreet46X	40.718056	-74	1904
CanalStreet46X	40.718056	-74	1913
CanalStreet46X	40.718056	-74	1917
CourtStreet_BoroughHall	40.693655	-73.990216	1908
CourtStreet_BoroughHall	40.693655	-73.990216	1919
CourtStreet_BoroughHall	40.693655	-73.990216	1920
DeKalbAvenueX	40.690254	-73.982277	1915
DeKalbAvenueX	40.690254	-73.982277	1920
DelanceyStreetEssexStreet	40.71851	-73.988199	1908
DelanceyStreetEssexStreet	40.71851	-73.988199	1936
FourthAvenue_NinthStreet	40.670956	-73.991397	1915
FourthAvenue_NinthStreet	40.670956	-73.991397	1933
FranklinAvenueFultonStreet	40.681126	-73.955712	1896
FranklinAvenueFultonStreet	40.681126	-73.955712	1936
FultonStreet_BroadwayNassauStreet	40.710206	-74.007744	1905
FultonStreet_BroadwayNassauStreet	40.710206	-74.007744	1918
FultonStreet_BroadwayNassauStreet	40.710206	-74.007744	1931
FultonStreet_BroadwayNassauStreet	40.710206	-74.007744	1933
GrandCentral_42ndStreet	40.752283	-73.977519	1904
GrandCentral_42ndStreet	40.752283	-73.977519	1915
GrandCentral_42ndStreet	40.752283	-73.977519	1918
LexingtonAvenue_59thStreet	40.762471	-73.9679	1918
LexingtonAvenue_59thStreet	40.762471	-73.9679	1919
MyrtleWyckoffAvenues	40.699511	-73.911166	1889
MyrtleWyckoffAvenues	40.699511	-73.911166	1928
NewUtrechtAvenue_62ndStreet	40.626086	-73.997887	1915
NewUtrechtAvenue_62ndStreet	40.626086	-73.997887	1916
RooseveltAvenue_74thStreet	40.746764	-73.891519	1917
RooseveltAvenue_74thStreet	40.746764	-73.891519	1933
SouthFerry_WhitehallStreet	40.702472	-74.012833	1918
SouthFerry_WhitehallStreet	40.702472	-74.012833	2009
TimesSquare_42ndStreet	40.756	-73.987	1904
TimesSquare_42ndStreet	40.756	-73.987	1917
TimesSquare_42ndStreet	40.756	-73.987	1918
WestFourthStreetWashingtonSquare	40.731682	-74.000945	1932
WestFourthStreetWashingtonSquare	40.731682	-74.000945	1940
