NYC subway

http://en.wikipedia.org/wiki/New_York_City_Subway

Line 1

Van Cortlandt Park-242nd Street		238th Street
238th Street		 		231st Street
231st Street				Marble Hill-225th Street
Marble Hill-225th Street		215th Street
215th Street				207th Street
207th Street				Dyckman Street
Dyckman Street				191st Street
191st Street				181st Street
181st Street				168th Street
168th Street				157th Street
157th Street				145th Street
145th Street				137th Street-City College
137th Street-City College		125th Street
125th Street				116th Street-Columbia University
116th Street-Columbia University	Cathedral Parkway-110th Street
Cathedral Parkway-110th Street		103rd Street		
103rd Street				96th Street
96th Street				86th Street
86th Street				79th Street
79th Street				72nd Street
72nd Street				66th Street-Lincoln Center
66th Street-Lincoln Center		59th Street-Columbus Circle
59th Street-Columbus Circle		50th Street	
50th Street				Times Square-42nd Street
Times Square-42nd Street		34th Street-Penn Station
34th Street-Penn Station		28th Street
28th Street				23rd Street
23rd Street				18th Street
18th Street				14th Street
14th Street				Christopher Street-Sheridan Square
Christopher Street-Sheridan Square	Houston Street
Houston Street		    		Canal Street			
Canal Street				Franklin Street
Franklin Street				Chambers Street
Chambers Street				Cortlandt Street
Cortlandt Street			Rector Street
Rector Street				South Ferry

Line 2

Wakefield-241st Street			Nereid Avenue 
Nereid Avenue				233rd Street 
233rd Street				225th Street 
225th Street 				219th Street 
219th Street 				Gun Hill Road
Gun Hill Road				Burke Avenue 	
Burke Avenue 				Allerton Avenue 
Allerton Avenue 			Pelham Parkway 	
Pelham Parkway 				Bronx Park East 
Bronx Park East 			East 180th Street
East 180th Street			West Farms Square-East Tremont Avenue
West Farms Square-East Tremont Avenue	174th Street
174th Street	       	       		Freeman Street 
Freeman Street 				Simpson Street 
Simpson Street 				Intervale Avenue
Intervale Avenue			Prospect Avenue
Prospect Avenue				Jackson Avenue
Jackson Avenue				Third Avenue-149th Street
Third Avenue-149th Street		149th Street-Grand Concourse
149th Street-Grand Concourse		135th Street
135th Street	   			125th Street
125th Street				116th Street
116th Street				Central Park North-110th Street
Central Park North-110th Street		96th Street 
96th Street  		 		86th Street 
86th Street 				79th Street 
79th Street 				72nd Street 
72nd Street 				66th Street-Lincoln Center
66th Street-Lincoln Center		59th Street-Columbus Circle
59th Street-Columbus Circle		50th Street
50th Street	     			Times Square-42nd Street
Times Square-42nd Street		34th Street-Penn Station
34th Street-Penn Station		28th Street
28th Street	 			23rd Street
23rd Street				18th Street
18th Street				14th Street
14th Street				Christopher Street-Sheridan Square
Christopher Street-Sheridan Square	Houston Street
Houston Street		    		Canal Street 
Canal Street 				Franklin Street
Franklin Street				Chambers Street
Chambers Street				Park Place
Park Place				Fulton Street
Fulton Street				Wall Street
Wall Street				Clark Street
Clark Street				Borough Hall
Borough Hall				Hoyt Street-Fulton Mall 
Hoyt Street-Fulton Mall 		Nevins Street
Nevins Street	   			Atlantic Avenue
Atlantic Avenue				Bergen Street
Bergen Street				Grand Army Plaza
Grand Army Plaza			Eastern Parkway-Brooklyn Museum
Eastern Parkway-Brooklyn Museum		Franklin Avenue
Franklin Avenue		 		President Street
President Street			Sterling Street
Sterling Street				Winthrop Street
Winthrop Street				Church Avenue
Church Avenue				Beverly Road
Beverly Road				Newkirk Avenue
Newkirk Avenue				Brooklyn College-Flatbush Avenue
Brooklyn College-Flatbush Avenue	Nostrand Avenue
Nostrand Avenue		  		Kingston Avenue
Kingston Avenue				Crown Heights-Utica Avenue
Crown Heights-Utica Avenue		Sutter Avenue-Rutland Road
Sutter Avenue-Rutland Road		Saratoga Avenue
Saratoga Avenue	      			Rockaway Avenue
Rockaway Avenue				Junius Street
Junius Street				Pennsylvania Avenue
Pennsylvania Avenue			Van Siclen Avenue
Van Siclen Avenue			New Lots Avenue

Line 3

Harlem-148th Street			145th Street
145th Street 				135th Street
135th Street				125th Street
125th Street				116th Street
116th Street				Central Park North-110th Street
Central Park North-110th Street		96th Street
96th Street  		 		72nd street
72nd street				Times Square-42nd Street
Times Square-42nd Street		34th Street-Penn Station
34th Street-Penn Station		14th Street
14th Street	 			Chambers Street
Chambers Street				Park Place
Park Place				Fulton Street
Fulton Street				Wall Street
Wall Street				Clark Street
Clark Street				Borough Hall
Borough Hall				Hoyt Street-Fulton Mall
Hoyt Street-Fulton Mall			Nevins Street
Nevins Street	   			Atlantic Avenue
Atlantic Avenue				Bergen Street
Bergen Street				Grand Army Plaza
Grand Army Plaza			Eastern Parkway-Brooklyn Museum
Eastern Parkway-Brooklyn Museum		Franklin Avenue
Franklin Avenue		 		Nostrand Avenue 
Nostrand Avenue				Kingston Avenue 
Kingston Avenue				Crown Heights-Utica Avenue
Crown Heights-Utica Avenue		Sutter Avenue-Rutland Road
Sutter Avenue-Rutland Road		Saratoga Avenue
Saratoga Avenue	      			Rockaway Avenue
Rockaway Avenue				Junius Street
Junius Street				Pennsylvania Avenue
Pennsylvania Avenue			Van Siclen Avenue
Van Siclen Avenue			New Lost Avenue

Line 4

Woodlawn				Mosholu Parkway
Mosholu Parkway				Bedford Park Boulevard-Lehman College
Bedford Park Boulevard-Lehman College	Kingsbridge Road
Kingsbridge Road	      		Fordham Road
Fordham Road				183rd Street
183rd Street				Burnside Avenue
Burnside Avenue				176th Street
176th Street				Mount Eden Avenue
Mount Eden Avenue			167th Street
167th Street				161st Street-Yankee Stadium
161st Street-Yankee Stadium		149th Street-Grand Concourse
149th Street-Grand Concourse		138th Street-Grand Concourse
138th Street-Grand Concourse		125th Street
125th Street	   			116th Street
116th Street				110th Street
110th Street				103rd Street
103rd Street				96th Street
96th Street				86th Street
86th Street				77th Street
77th Street				68th Street-Hunter College
68th Street-Hunter College		59th Street
59th Street	   			51st Street
51st Street				42nd Street-Grand Central
42nd Street-Grand Central		33rd Street
33rd Street	  			28th Street
28th Street				23rd Street
23rd Street				14th Street-Union Square
14th Street-Union Square		Astor Place
Astor Place	  			Bleecker Street
Bleecker Street				Spring Street
Spring Street				Canal Street
Canal Street				Brooklyin Bridge-City Hall
Brooklyin Bridge-City Hall		Fulton Street
Fulton Street	      			Wall Street
Wall Street				Bowling Green
Bowling Green				Borough Hall
Borough Hall				Nevins Street
Nevins Street				Atlantic Avenue
Atlantic Avenue				Bergen Street
Bergen Street				Grand Army Plaza
Grand Army Plaza			Eastern Parkway-Brooklyn Museum
Eastern Parkway-Brooklyn Museum		Franklin Avenue
Franklin Avenue		 		Nostrand Avenue 
Nostrand Avenue				Kingston Avenue 
Kingston Avenue				Crown Heights-Utica Avenue
Crown Heights-Utica Avenue		Sutter Avenue-Rutland Road
Sutter Avenue-Rutland Road		Saratoga Avenue
Saratoga Avenue	      			Rockaway Avenue
Rockaway Avenue				Junius Street
Junius Street				Pennsylvania Avenue
Pennsylvania Avenue			Van Siclen Avenue
Van Siclen Avenue			New Lost Avenue

Line 5

Eastchester-Dyre Avenue			Baychester Avenue
Baychester Avenue 			Gun Hill Road	
Gun Hill Road 				Pelham Parkway
Pelham Parkway 				Morris Park	
Morris Park 				East 180th Street
Nereid Avenue				233rd Street
233rd Street				225th Street
225th Street				219th Street
219th Street				Gun Hill Road
Gun Hill Road				Burke Avenue
Burke Avenue				Allerton Avenue
Allerton Avenue				Pelham Parkway	
Pelham Parkway				Bronx Park East
Bronx Park East				East 180th Street
East 180th Street			West Farms Square-East Tremont Avenue
West Farms Square-East Tremont Avenue	174th Street
174th Street	       	       		Freeman Street
Freeman Street				Simpson Street 	
Simpson Street 				Intervale Avenue
Intervale Avenue			Prospect Avenue
Prospect Avenue				Jackson Avenue
Jackson Avenue				Third Avenue-149th Street
Third Avenue-149th Street		149th Street-Grand Concourse
149th Street-Grand Concourse		138th Street-Grand Concourse
138th Street-Grand Concourse		125th Street
125th Street	   			86th Street
86th Street				59th Street
59th Street				42nd Street-Grand Central
42nd Street-Grand Central		14th Street-Union Square
14th Street-Union Square		Brooklyn Bridge-City Hall
Brooklyn Bridge-City Hall		Fulton Street
Fulton Street	     			Wall Street
Wall Street				Bowling Green
Bowling Green				Borough Hall
Borough Hall				Nevins Street
Nevins Street				Atlantic Avenue
Atlantic Avenue				Franklin Avenue
Franklin Avenue				President Street
President Street			Sterling Street
Sterling Street				Winthrop Street
Winthrop Street				Church Avenue
Church Avenue				Beverly Road
Beverly Road				Newkirk Avenue
Newkirk Avenue				Brooklyn College-Flatbush Avenue
Brooklyn College-Flatbush Avenue	Crown Heights-Utica Avenue
