VanCortlandtPark242ndStreet	238thStreet
238thStreet	231stStreet
231stStreet	MarbleHill225thStreet
MarbleHill225thStreet	215thStreet
215thStreet	207thStreet
207thStreet	DyckmanStreet1
DyckmanStreet1	191stStreet
191stStreet	181stStreet1
181stStreet1	168thStreet
168thStreet	157thStreet
157thStreet	145thStreet1
145thStreet1	137thStreetCityCollege
137thStreetCityCollege	125thStreet1
125thStreet1	116thStreetColumbiaUniversity
116thStreetColumbiaUniversity	CathedralParkway110thStreet
CathedralParkway110thStreet	103rdStreet1
103rdStreet1	96thStreet123
96thStreet123	86thStreet12
86thStreet12	79thStreet12
79thStreet12	72ndStreet123
72ndStreet123	66thStreetLincolnCenter
66thStreetLincolnCenter	59thStreetColumbusCircle
59thStreetColumbusCircle	50thStreet12
50thStreet12	TimesSquare_42ndStreet
TimesSquare_42ndStreet	34thStreetPennStation123
34thStreetPennStation123	28thStreet12
28thStreet12	23rdStreet12
23rdStreet12	18thStreet
18thStreet	14thStreet123
14thStreet123	ChristopherStreetSheridanSquare
ChristopherStreetSheridanSquare	HoustonStreet
HoustonStreet	CanalStreet12
CanalStreet12	FranklinStreet
FranklinStreet	ChambersStreet123
ChambersStreet123	CortlandtStreet1
CortlandtStreet1	RectorStreet1
RectorStreet1	SouthFerry_WhitehallStreet
