Harlem148thStreet	145thStreet3
145thStreet3	135thStreet23
135thStreet23	125thStreet23
125thStreet23	116thStreet23
116thStreet23	CentralParkNorth110thStreet
CentralParkNorth110thStreet	96thStreet123
96thStreet123	86thStreet12
86thStreet12	79thStreet12
79thStreet12	72ndStreet123
72ndStreet123	66thStreetLincolnCenter
66thStreetLincolnCenter	59thStreetColumbusCircle
59thStreetColumbusCircle	50thStreet12
50thStreet12	TimesSquare_42ndStreet
TimesSquare_42ndStreet	34thStreetPennStation123
34thStreetPennStation123	28thStreet12
28thStreet12	23rdStreet12
23rdStreet12	18thStreet
18thStreet	14thStreet123
14thStreet123	ChristopherStreetSheridanSquare
ChristopherStreetSheridanSquare	HoustonStreet
HoustonStreet	CanalStreet12
CanalStreet12	FranklinStreet
FranklinStreet	ChambersStreet123
ChambersStreet123	ParkPlace23
ParkPlace23	FultonStreet_BroadwayNassauStreet
FultonStreet_BroadwayNassauStreet	WallStreet23
WallStreet23	ClarkStreet
ClarkStreet	CourtStreet_BoroughHall
CourtStreet_BoroughHall	HoytStreetFultonMall
HoytStreetFultonMall	NevinsStreet
NevinsStreet	AtlanticAvenue_PacificStreet
AtlanticAvenue_PacificStreet	BergenStreet234
BergenStreet234	GrandArmyPlaza
GrandArmyPlaza	EasternParkwayBrooklynMuseum
EasternParkwayBrooklynMuseum	FranklinAvenue_BotanicGarden
FranklinAvenue_BotanicGarden	NostrandAvenue2345
NostrandAvenue2345	KingstonAvenue
KingstonAvenue	CrownHeightsUticaAvenue
CrownHeightsUticaAvenue	SutterAvenueRutlandRoad
SutterAvenueRutlandRoad	SaratogaAvenue
SaratogaAvenue	RockawayAvenue2345
RockawayAvenue2345	JuniusStreet
JuniusStreet	PennsylvaniaAvenue
PennsylvaniaAvenue	VanSiclenAvenue2345
VanSiclenAvenue2345	NewLotsAvenue2345
