EastchesterDyreAvenue	BaychesterAvenue
BaychesterAvenue	GunHillRoad5
GunHillRoad5	PelhamParkway5
PelhamParkway5	MorrisPark
MorrisPark	East180thStreet
NereidAvenue	233rdStreet
233rdStreet	225thStreet
225thStreet	219thStreet
219thStreet	GunHillRoad25
GunHillRoad25	BurkeAvenue
BurkeAvenue	AllertonAvenue
AllertonAvenue	PelhamParkway25
PelhamParkway25	BronxParkEast
BronxParkEast	East180thStreet
East180thStreet	WestFarmsSquareEastTremontAvenue
WestFarmsSquareEastTremontAvenue	174thStreet
174thStreet	FreemanStreet
FreemanStreet	SimpsonStreet
SimpsonStreet	IntervaleAvenue
IntervaleAvenue	ProspectAvenue25
ProspectAvenue25	JacksonAvenue
JacksonAvenue	ThirdAvenue149thStreet
ThirdAvenue149thStreet	149thStreetGrandConcourse
149thStreetGrandConcourse	138thStreetGrandConcourse
138thStreetGrandConcourse	125thStreet456
125thStreet456	116thStreet46
116thStreet46	110thStreet
110thStreet	103rdStreet46
103rdStreet46	96thStreet46
96thStreet46	86thStreet456
86thStreet456	77thStreet46
77thStreet46	68thStreetHunterCollege
68thStreetHunterCollege	LexingtonAvenue_59thStreet
LexingtonAvenue_59thStreet	51stStreet
51stStreet	GrandCentral_42ndStreet
GrandCentral_42ndStreet	33rdStreet
33rdStreet	28thStreet46
28thStreet46	23rdStreet46
23rdStreet46	14thStreetUnionSquare
14thStreetUnionSquare	AstorPlace
AstorPlace	BleeckerStreet
BleeckerStreet	SpringStreet46
SpringStreet46	CanalStreet46X
CanalStreet46X	BrooklynBridgeCityHall
BrooklynBridgeCityHall	FultonStreet_BroadwayNassauStreet
FultonStreet_BroadwayNassauStreet	WallStreet45
WallStreet45	BowlingGreen
BowlingGreen	CourtStreet_BoroughHall
CourtStreet_BoroughHall	NevinsStreet
NevinsStreet	AtlanticAvenue_PacificStreet
AtlanticAvenue_PacificStreet	BergenStreet234
BergenStreet234	GrandArmyPlaza
GrandArmyPlaza	EasternParkwayBrooklynMuseum
EasternParkwayBrooklynMuseum	FranklinAvenue_BotanicGarden
FranklinAvenue_BotanicGarden	PresidentStreet
PresidentStreet	SterlingStreet
SterlingStreet	WinthropStreet
WinthropStreet	ChurchAvenue25
ChurchAvenue25	BeverlyRoad
BeverlyRoad	NewkirkAvenue25
NewkirkAvenue25	BrooklynCollegeFlatbushAvenue
BrooklynCollegeFlatbushAvenue	CrownHeightsUticaAvenue
CrownHeightsUticaAvenue	SutterAvenueRutlandRoad
SutterAvenueRutlandRoad	SaratogaAvenue
SaratogaAvenue	RockawayAvenue2345
RockawayAvenue2345	JuniusStreet
JuniusStreet	PennsylvaniaAvenue
PennsylvaniaAvenue	VanSiclenAvenue2345
VanSiclenAvenue2345	NewLotsAvenue2345
