PelhamBayPark	BuhreAvenue
BuhreAvenue	MiddletownRoad
MiddletownRoad	WestchesterSquareEastTremontAvenue
WestchesterSquareEastTremontAvenue	ZeregaAvenue
ZeregaAvenue	CastleHillAvenue
CastleHillAvenue	Parkchester
Parkchester	St.LawrenceAvenue
St.LawrenceAvenue	MorrisonAvenueSoundview
MorrisonAvenueSoundview	ElderAvenue
ElderAvenue	WhitlockAvenue
WhitlockAvenue	HuntsPointAvenue
HuntsPointAvenue	LongwoodAvenue
LongwoodAvenue	East149thStreet
East149thStreet	East143rdStreetSt.Mary'sStreet
East143rdStreetSt.Mary'sStreet	CypressAvenue
CypressAvenue	BrookAvenue
BrookAvenue	ThirdAvenue138thStreet
ThirdAvenue138thStreet	125thStreet456
125thStreet456	116thStreet46
116thStreet46	110thStreet
110thStreet	103rdStreet46
103rdStreet46	96thStreet46
96thStreet46	86thStreet456
86thStreet456	77thStreet46
77thStreet46	68thStreetHunterCollege
68thStreetHunterCollege	LexingtonAvenue_59thStreet
LexingtonAvenue_59thStreet	51stStreet
51stStreet	GrandCentral_42ndStreet
GrandCentral_42ndStreet	33rdStreet
33rdStreet	28thStreet46
28thStreet46	23rdStreet46
23rdStreet46	14thStreetUnionSquare
14thStreetUnionSquare	AstorPlace
AstorPlace	BleeckerStreet
BleeckerStreet	SpringStreet46
SpringStreet46	CanalStreet46X
CanalStreet46X	BrooklynBridgeCityHall
