FlushingMainStreet	MetsWilletsPoint
MetsWilletsPoint	111thStreet7
111thStreet7	103rdStreetCoronaPlaza
103rdStreetCoronaPlaza	JunctionBoulevard
JunctionBoulevard	90thStreetElmhurstAvenue
90thStreetElmhurstAvenue	82ndStreetJacksonHeights
82ndStreetJacksonHeights	RooseveltAvenue_74thStreet
RooseveltAvenue_74thStreet	69thStreet
69thStreet	Woodside61stStreet
Woodside61stStreet	52ndStreet
52ndStreet	46thStreetBlissStreet
46thStreetBlissStreet	40thStreetLoweryStreet
40thStreetLoweryStreet	33rdStreetRawsonStreet
33rdStreetRawsonStreet	QueensboroPlaza
QueensboroPlaza	45thRoadCourtHouseSquare
45thRoadCourtHouseSquare	HuntersPointAvenue
HuntersPointAvenue	VernonBoulevardJacksonAvenue
VernonBoulevardJacksonAvenue	GrandCentral_42ndStreet
GrandCentral_42ndStreet	FifthAvenueBryantPark
FifthAvenueBryantPark	TimesSquare_42ndStreet
