BedfordParkBoulevard	KingsbridgeRoadBD
KingsbridgeRoadBD	FordhamRoadBD
FordhamRoadBD	182nd183rdStreets
182nd183rdStreets	TremontAvenue
TremontAvenue	174th175thStreets
174th175thStreets	170thStreetBD
170thStreetBD	167thStreet
167thStreet	161stStreetYankeeStadium
161stStreetYankeeStadium	155thStreetBD
155thStreetBD	145thStreetABCD
145thStreetABCD	135thStreetABC
135thStreetABC	125thStreetABCD
125thStreetABCD	116thStreetABC
116thStreetABC	110thStreetCathedralParkway
110thStreetCathedralParkway	103rdStreetABC
103rdStreetABC	96thStreetABC
96thStreetABC	86thStreetABC
86thStreetABC	81stStreetMuseumofNaturalHistory
81stStreetMuseumofNaturalHistory	72ndStreetABC
72ndStreetABC	59thStreetColumbusCircle
59thStreetColumbusCircle	SeventhAvenueMANH
SeventhAvenueMANH	47th50thStreetsRockefellerCenter
47th50thStreetsRockefellerCenter	42ndStreetBryantPark
42ndStreetBryantPark	34thStreetHeraldSquare
34thStreetHeraldSquare	23rdStreetFV
23rdStreetFV	14thStreetFV
14thStreetFV	WestFourthStreetWashingtonSquare
WestFourthStreetWashingtonSquare	BroadwayLafayetteStreet
BroadwayLafayetteStreet	GrandStreetBD
GrandStreetBD	DeKalbAvenueX
DeKalbAvenueX	AtlanticAvenue_PacificStreet
AtlanticAvenue_PacificStreet	SeventhAvenueBROOK
SeventhAvenueBROOK	ProspectPark
ProspectPark	ChurchAvenueBQ
ChurchAvenueBQ	BeverleyRoad
BeverleyRoad	CortelyouRoad
CortelyouRoad	NewkirkAvenueBQ
NewkirkAvenueBQ	AvenueH
AvenueH	AvenueJ
AvenueJ	AvenueM
AvenueM	KingsHighwayBQ
KingsHighwayBQ	AvenueUQ
AvenueUQ	NeckRoad
NeckRoad	SheepsheadBay
SheepsheadBay	BrightonBeach
