Norwood205thStreet	BedfordParkBoulevard
BedfordParkBoulevard	KingsbridgeRoadBD
KingsbridgeRoadBD	FordhamRoadBD
FordhamRoadBD	182nd183rdStreets
182nd183rdStreets	TremontAvenue
TremontAvenue	174th175thStreets
174th175thStreets	170thStreetBD
170thStreetBD	167thStreet
167thStreet	161stStreetYankeeStadium
161stStreetYankeeStadium	155thStreetBD
155thStreetBD	145thStreetABCD
145thStreetABCD	125thStreetABCD
125thStreetABCD	116thStreetABC
116thStreetABC	110thStreetCathedralParkway
110thStreetCathedralParkway	103rdStreetABC
103rdStreetABC	96thStreetABC
96thStreetABC	86thStreetABC
86thStreetABC	81stStreetMuseumofNaturalHistory
81stStreetMuseumofNaturalHistory	72ndStreetABC
72ndStreetABC	59thStreetColumbusCircle
59thStreetColumbusCircle	50thStreetACE
50thStreetACE	42ndStreetPortAuthorityBusTerminal
42ndStreetPortAuthorityBusTerminal	34thStreetPennStationACE
34thStreetPennStationACE	23rdStreetACE
23rdStreetACE	14thStreet_EighthAvenue
14thStreet_EighthAvenue	WestFourthStreetWashingtonSquare
WestFourthStreetWashingtonSquare	BroadwayLafayetteStreet
BroadwayLafayetteStreet	GrandStreetBD
GrandStreetBD	DeKalbAvenueX
DeKalbAvenueX	AtlanticAvenue_PacificStreet
AtlanticAvenue_PacificStreet	UnionStreet
UnionStreet	FourthAvenue_NinthStreet
FourthAvenue_NinthStreet	ProspectAvenueDMNR
ProspectAvenueDMNR	25thStreet
25thStreet	36thStreetDMNR
36thStreetDMNR	NinthAvenue
NinthAvenue	FortHamiltonParkwayDM
FortHamiltonParkwayDM	50thStreetDM
50thStreetDM	55thStreet
55thStreet	NewUtrechtAvenue_62ndStreet
NewUtrechtAvenue_62ndStreet	71stStreet
71stStreet	79thStreetDM
79thStreetDM	18thAvenueDM
18thAvenueDM	20thAvenueDM
20thAvenueDM	BayParkwayDM
BayParkwayDM	25thAvenue
25thAvenue	Bay50thStreet
Bay50thStreet	ConeyIslandStillwellAvenue
