Jamaica179thStreet	169thStreet
169thStreet	ParsonsBoulevard
ParsonsBoulevard	SutphinBoulevard
SutphinBoulevard	BriarwoodVanWyckBoulevard
BriarwoodVanWyckBoulevard	KewGardensUnionTurnpike
KewGardensUnionTurnpike	75thAvenue
75thAvenue	ForestHills71stAvenue
ForestHills71stAvenue	67thAvenue
67thAvenue	63rdDriveRegoPark
63rdDriveRegoPark	WoodhavenBoulevardEGRV
WoodhavenBoulevardEGRV	GrandAvenueNewtown
GrandAvenueNewtown	ElmhurstAvenue
ElmhurstAvenue	RooseveltAvenue_74thStreet
RooseveltAvenue_74thStreet	65thStreet
65thStreet	NorthernBoulevard
NorthernBoulevard	46thStreet
46thStreet	SteinwayStreet
SteinwayStreet	36thStreetEGRV
36thStreetEGRV	21stStreetQueensbridge
21stStreetQueensbridge	RooseveltIsland
RooseveltIsland	LexingtonAvenue63rdStreet
LexingtonAvenue63rdStreet	57thStreetF
57thStreetF	47th50thStreetsRockefellerCenter
47th50thStreetsRockefellerCenter	42ndStreetBryantPark
42ndStreetBryantPark	34thStreetHeraldSquare
34thStreetHeraldSquare	23rdStreetFV
23rdStreetFV	14thStreetFV
14thStreetFV	WestFourthStreetWashingtonSquare
WestFourthStreetWashingtonSquare	BroadwayLafayetteStreet
BroadwayLafayetteStreet	LowerEastSideSecondAvenue
LowerEastSideSecondAvenue	DelanceyStreetEssexStreet
DelanceyStreetEssexStreet	EastBroadway
EastBroadway	YorkStreet
YorkStreet	JayStreetBoroughHall
JayStreetBoroughHall	BergenStreetFG
BergenStreetFG	CarrollStreet
CarrollStreet	SmithNinthStreets
SmithNinthStreets	FourthAvenue_NinthStreet
FourthAvenue_NinthStreet	SeventhAvenueFG
SeventhAvenueFG	15thStreetProspectPark
15thStreetProspectPark	FortHamiltonParkwayFG
FortHamiltonParkwayFG	ChurchAvenueFG
ChurchAvenueFG	DitmasAvenue
DitmasAvenue	18thAvenueF
18thAvenueF	AvenueI
AvenueI	BayParkwayF
BayParkwayF	AvenueN
AvenueN	AvenueP
AvenueP	KingsHighwayF
KingsHighwayF	AvenueUF
AvenueUF	AvenueX
AvenueX	NeptuneAvenue
NeptuneAvenue	WestEighthStreetNewYorkAquarium
WestEighthStreetNewYorkAquarium	ConeyIslandStillwellAvenue
