ForestHills71stAvenue	67thAvenue
67thAvenue	63rdDriveRegoPark
63rdDriveRegoPark	WoodhavenBoulevardEGRV
WoodhavenBoulevardEGRV	GrandAvenueNewtown
GrandAvenueNewtown	ElmhurstAvenue
ElmhurstAvenue	RooseveltAvenue_74thStreet
RooseveltAvenue_74thStreet	65thStreet
65thStreet	NorthernBoulevard
NorthernBoulevard	46thStreet
46thStreet	SteinwayStreet
SteinwayStreet	36thStreetEGRV
36thStreetEGRV	QueensPlaza
QueensPlaza	LongIslandCityCourtSquare
LongIslandCityCourtSquare	21stStreet
21stStreet	GreenpointAvenue
GreenpointAvenue	NassauAvenue
NassauAvenue	MetropolitanAvenue
MetropolitanAvenue	BroadwayG
BroadwayG	FlushingAvenueG
FlushingAvenueG	MyrtleWilloughbyAvenues
MyrtleWilloughbyAvenues	BedfordNostrandAvenues
BedfordNostrandAvenues	ClassonAvenue
ClassonAvenue	ClintonWashingtonAvenuesG
ClintonWashingtonAvenuesG	FultonStreet
FultonStreet	HoytSchermerhornStreets
HoytSchermerhornStreets	BergenStreetFG
BergenStreetFG	CarrollStreet
CarrollStreet	SmithNinthStreets
SmithNinthStreets	FourthAvenue_NinthStreet
FourthAvenue_NinthStreet	SeventhAvenueFG
SeventhAvenueFG	15thStreetProspectPark
15thStreetProspectPark	FortHamiltonParkwayFG
FortHamiltonParkwayFG	ChurchAvenueFG
