14thStreet_EighthAvenue	SixthAvenue
SixthAvenue	14thStreetUnionSquare
14thStreetUnionSquare	ThirdAvenue
ThirdAvenue	FirstAvenue
FirstAvenue	BedfordAvenue
BedfordAvenue	LorimerStreetL
LorimerStreetL	GrahamAvenue
GrahamAvenue	GrandStreetL
GrandStreetL	MontroseAvenue
MontroseAvenue	MorganAvenue
MorganAvenue	JeffersonStreet
JeffersonStreet	DeKalbAvenueL
DeKalbAvenueL	MyrtleWyckoffAvenues
MyrtleWyckoffAvenues	HalseyStreetL
HalseyStreetL	WilsonAvenue
WilsonAvenue	BushwickAvenueAberdeenStreet
BushwickAvenueAberdeenStreet	BroadwayJunction
BroadwayJunction	AtlanticAvenue
AtlanticAvenue	SutterAvenue
SutterAvenue	LivoniaAvenue
LivoniaAvenue	NewLotsAvenueL
NewLotsAvenueL	East105thStreet
East105thStreet	CanarsieRockawayParkway
