MiddleVillageMetropolitanAvenue	FreshPondRoad
FreshPondRoad	ForestAvenue
ForestAvenue	SenecaAvenue
SenecaAvenue	MyrtleWyckoffAvenues
MyrtleWyckoffAvenues	KnickerbockerAvenue
KnickerbockerAvenue	CentralAvenue
CentralAvenue	MyrtleAvenue
MyrtleAvenue	FlushingAvenueJMZ
FlushingAvenueJMZ	LorimerStreetJMZ
LorimerStreetJMZ	HewesStreet
HewesStreet	MarcyAvenue
MarcyAvenue	DelanceyStreetEssexStreet
DelanceyStreetEssexStreet	Bowery
Bowery	CanalStreet46X
CanalStreet46X	ChambersStreetJMZ
ChambersStreetJMZ	FultonStreet_BroadwayNassauStreet
FultonStreet_BroadwayNassauStreet	BroadStreet
BroadStreet	CourtStreet_BoroughHall
CourtStreet_BoroughHall	LawrenceStreetMetroTech
LawrenceStreetMetroTech	DeKalbAvenueX
DeKalbAvenueX	AtlanticAvenue_PacificStreet
AtlanticAvenue_PacificStreet	UnionStreet
UnionStreet	FourthAvenue_NinthStreet
FourthAvenue_NinthStreet	ProspectAvenueDMNR
ProspectAvenueDMNR	25thStreet
25thStreet	36thStreetDMNR
36thStreetDMNR	NinthAvenue
NinthAvenue	FortHamiltonParkwayDM
FortHamiltonParkwayDM	50thStreetDM
50thStreetDM	55thStreet
55thStreet	NewUtrechtAvenue_62ndStreet
NewUtrechtAvenue_62ndStreet	71stStreet
71stStreet	79thStreetDM
79thStreetDM	18thAvenueDM
18thAvenueDM	20thAvenueDM
20thAvenueDM	BayParkwayDM
