ForestHills71stAvenue	67thAvenue
67thAvenue	63rdDriveRegoPark
63rdDriveRegoPark	WoodhavenBoulevardEGRV
WoodhavenBoulevardEGRV	GrandAvenueNewtown
GrandAvenueNewtown	ElmhurstAvenue
ElmhurstAvenue	RooseveltAvenue_74thStreet
RooseveltAvenue_74thStreet	65thStreet
65thStreet	NorthernBoulevard
NorthernBoulevard	46thStreet
46thStreet	SteinwayStreet
SteinwayStreet	36thStreetEGRV
36thStreetEGRV	QueensPlaza
QueensPlaza	23rdStreetElyAvenue
23rdStreetElyAvenue	LexingtonAvenue53rdStreet
LexingtonAvenue53rdStreet	FifthAvenue_53rdStreet
FifthAvenue_53rdStreet	47th50thStreetsRockefellerCenter
47th50thStreetsRockefellerCenter	42ndStreetBryantPark
42ndStreetBryantPark	34thStreetHeraldSquare
34thStreetHeraldSquare	23rdStreetFV
23rdStreetFV	14thStreetFV
14thStreetFV	WestFourthStreetWashingtonSquare
WestFourthStreetWashingtonSquare	BroadwayLafayetteStreet
BroadwayLafayetteStreet	LowerEastSideSecondAvenue
