name-of-station	name-of-line			year
149thStreetGrandConcourse	Line 2	40.818	-73.927	1905
149thStreetGrandConcourse	Line 4	40.818	-73.927	1917
149thStreetGrandConcourse	Line 5	40.818	-73.927	1905
14thStreetUnionSquare	Line 4	40.734722	-73.990278	1904
14thStreetUnionSquare	Line 5	40.734722	-73.990278	1904
14thStreetUnionSquare	Line 6	40.734722	-73.990278	1904
14thStreetUnionSquare	Line L	40.734722	-73.990278	1924
14thStreetUnionSquare	Line N	40.734722	-73.990278	1917
14thStreetUnionSquare	Line Q	40.734722	-73.990278	1917
14thStreetUnionSquare	Line R	40.734722	-73.990278	1917
14thStreetUnionSquare	Line W	40.734722	-73.990278	1917
161stStreetYankeeStadium	Line 4	40.827937	-73.925886	1917
161stStreetYankeeStadium	Line B	40.827937	-73.925886	1933
161stStreetYankeeStadium	Line D	40.827937	-73.925886	1933
167thStreet	Line 4	40.835665	-73.921337	1917
167thStreet	Line B	40.835665	-73.921337	1933
167thStreet	Line D	40.835665	-73.921337	1933
168thStreet	Line 1	40.841022	-73.939791	1906
168thStreet	Line A	40.841022	-73.939791	1932
168thStreet	Line C	40.841022	-73.939791	1932
169thStreet	Line F	40.710638	-73.793063	1937
34thStreetHeraldSquare	Line B	40.749338	-73.987985	1940
34thStreetHeraldSquare	Line D	40.749338	-73.987985	1940
34thStreetHeraldSquare	Line F	40.749338	-73.987985	1940
34thStreetHeraldSquare	Line N	40.749338	-73.987985	1918
34thStreetHeraldSquare	Line Q	40.749338	-73.987985	1918
34thStreetHeraldSquare	Line R	40.749338	-73.987985	1918
34thStreetHeraldSquare	Line V	40.749338	-73.987985	1940
34thStreetHeraldSquare	Line W	40.749338	-73.987985	1918
59thStreetColumbusCircle	Line 1	40.767997	-73.981934	1904
59thStreetColumbusCircle	Line 2	40.767997	-73.981934	1904
59thStreetColumbusCircle	Line A	40.767997	-73.981934	1932
59thStreetColumbusCircle	Line B	40.767997	-73.981934	1932
59thStreetColumbusCircle	Line C	40.767997	-73.981934	1932
59thStreetColumbusCircle	Line D	40.767997	-73.981934	1932
AtlanticAvenue_PacificStreet	Line 2	40.684462	-73.978758	1908
AtlanticAvenue_PacificStreet	Line 3	40.684462	-73.978758	1908
