Nakano				Ochiai		
Ochiai				Takadanobaba	
Takadanobaba			Waseda		
Waseda				Kagurazaka	
Kagurazaka			Iidabashi		
Iidabashi				Kudanshita	
Kudanshita			Takebashi	
Takebashi			Otemachi		
Otemachi				Nihombashi	
Nihombashi			Kayabacho	
Kayabacho			Monzen-Nakacho
Monzen-Nakacho		Kiba		
Kiba					Toyocho	
Toyocho				Minami-Sunamachi	
Minami-Sunamachi		Nishi-Kasai		
Nishi-Kasai			Kasai			
Kasai				Urayasu			
Urayasu				Minami-Gyotoku	
Minami-Gyotoku		Gyotoku			
Gyotoku				Myoden			
Myoden				Baraki-nakayama	
Baraki-nakayama		Nishi-Funabashi	
