Wakoshi					Chikatetsu-Narimasu
Chikatetsu-Narimasu		Chikatetsu-Akatsuka
Chikatetsu-Akatsuka		Heiwadai
Heiwadai					Hikawadai
Hikawadai				Kotake-Mukaihara	
Kotake-Mukaihara			Senkawa			
Senkawa					Kanamecho		
Kanamecho				Ikebukuro		
Ikebukuro				Higashi-Ikebukuro	
Higashi-Ikebukuro			Gokokuji		
Gokokuji					Edogawabashi		
Edogawabashi				Iidabashi		
Iidabashi					Ichigaya		
Ichigaya					Kojimachi		
Kojimachi				Nagatacho		
Nagatacho				Sakuradamon		
Sakuradamon				Yurakucho		
Yurakucho				Ginza-itchome	
Ginza-itchome			Shintomicho		
Shintomicho				Tsukishima		
Tsukishima				Toyosu			
Toyosu					Tatsumi			
Tatsumi					Shin-kiba		
