Shinagawa			Osaki		
Osaki				Gotanda		
Gotanda				Meguro		
Meguro				Ebisu		
Ebisu				Shibuya		
Shibuya				Harajuku	
Harajuku				Yoyogi		
Yoyogi				Shinjuku		
Shinjuku				Shin-Okubo	
Shin-Okubo			Takadanobaba
Takadanobaba			Mejiro	
Mejiro				Ikebukuro
Ikebukuro			Otsuka	
Otsuka				Sugamo		
Sugamo				Komagome	
Komagome			Tabata		
Tabata				Nishi-Nippori	
Nishi-Nippori			Nippori		
Nippori				Uguisudani	
Uguisudani			Ueno		
Ueno				Okachimachi	
Okachimachi			Akihabara	
Akihabara			Kanda		
Kanda				Tokyo
Tokyo				Yurakucho
Yurakucho			Shimbashi
Shimbashi			Hamamatsucho
Hamamatsucho		Tamachi		
Tamachi				Shinagawa	
