Meguro					Shirokane-dai
Shirokane-dai				Shirokane-Takanawa
Shirokane-Takanawa		Mita		
Mita						Shibakoen		
Shibakoen				Onarimon
Onarimon				Uchisaiwaicho		
Uchisaiwaicho				Hibiya
Hibiya					Otemachi
Otemachi					Jimbocho
Jimbocho					Suidobashi		
Suidobashi				Kasuga
Kasuga					Hakusan
Hakusan					Sengoku
Sengoku					Sugamo
Sugamo					Nishi-Sugamo		
Nishi-Sugamo				Shin-Itabashi		
Shin-Itabashi				Itabashi-kuyakushomae
Itabashi-kuyakushomae		Itabashi-honcho	
Itabashi-honcho			Motohasunuma	
Motohasunuma			Shimura-sakaue	
Shimura-sakaue			Shimura-sanchome	
Shimura-sanchome			Hasune		
Hasune					Nishidai		
Nishidai					Takashimadaira	
Takashimadaira			Shin-Takashimadaira
Shin-Takashimadaira		Nishi-Takashimadaira
