Shinjuku				Shinjuku-sanchome
Shinjuku-sanchome	Akebonobashi	
Akebonobashi			Ichigaya		
Ichigaya				Kudanshita	
Kudanshita			Jimbocho		
Jimbocho				Ogawamachi	
Ogawamachi			Iwamotocho	
Iwamotocho			Bakuro-yokoyama
Bakuro-yokoyama		Hamacho 	
Hamacho 			Morishita 	
Morishita 			Kikukawa		
Kikukawa				Sumiyoshi 	
Sumiyoshi 			Nishi-Ojima	
Nishi-Ojima			OjimaStation	
OjimaStation			Higashi-Ojima
Higashi-Ojima		Funabori 	
Funabori 				Ichinoe 	
Ichinoe 				Mizue 	
Mizue 				Shinozaki
Shinozaki			Motoyawata
