Ogikubo				Minami-Asagaya	
Minami-Asagaya		Shin-Koenji		
Shin-Koenji			Higashi-Koenji	
Higashi-Koenji		Shin-Nakano		
Shin-Nakano			Nakano-sakaue	
Honancho			Nakano-fujimicho	
Nakano-fujimicho		Nakano-shimbashi 	
Nakano-shimbashi 	Nakano-sakaue
Nakano-sakaue		Nishi-Shinjuku	
Nishi-Shinjuku		Shinjuku		
Shinjuku				Shinjuku-sanchome
Shinjuku-sanchome	Shinjuku-gyoenmae
Shinjuku-gyoenmae	Yotsuya-sanchome
Yotsuya-sanchome		Yotsuya		
Yotsuya				Akasaka-mitsuke
Akasaka-mitsuke		Kokkai-gijidomae
Kokkai-gijidomae		Kasumigaseki	
Kasumigaseki			Ginza		
Ginza				Tokyo 		
Tokyo 				Otemachi		
Otemachi				Awajicho		
Awajicho				Ochanomizu	
Ochanomizu			Hongo-Sanchome	
Hongo-Sanchome		Korakuen		
Korakuen				Myogadani	
Myogadani			Shin-Otsuka 	
Shin-Otsuka 			Ikebukuro 	
