Dainichi			Moriguchi
Moriguchi			Taishibashi-Imaichi
Taishibashi-Imaichi		Sembayashi-Omiya
Sembayashi-Omiya		Sekime-Takadono
Sekime-Takadono			Noe-Uchindai	
Noe-Uchindai			Miyakojima	
Miyakojima			TenjimbashisujiRokuchome
TenjimbashisujiRokuchome	Nakazakicho
Nakazakicho			Higashi-Umeda
Higashi-Umeda			Minami-morimachi
Minami-morimachi		Temmabashi
Temmabashi			TanimachiYonchome
TanimachiYonchome		TanimachiRokuchome
TanimachiRokuchome		TanimachiKyuchome
TanimachiKyuchome		Shitennoji-maeYuhigaoka
Shitennoji-maeYuhigaoka		Tennoji
Tennoji				Abeno
Abeno				Fuminosato
Fuminosato			Tanabe
Tanabe				Komagawa-Nakano
Komagawa-Nakano			Hirano
Hirano				Kire-Uriwari
Kire-Uriwari			Deto
Deto				Nagahara
Nagahara			Yaominami
