LaDefense			EsplanadedelaDefense
EsplanadedelaDefense		PontdeNeuilly
PontdeNeuilly			LesSablons
LesSablons			PorteMaillot		
PorteMaillot			Argentine
Argentine			CharlesdeGaulleEtoile
CharlesdeGaulleEtoile		GeorgeV
GeorgeV				FranklinD.Roosevelt
FranklinD.Roosevelt		ChampsElyseesClemenceau
ChampsElyseesClemenceau		Concorde
Concorde			Tuileries
Tuileries			PalaisRoyalMuseeduLouvre
PalaisRoyalMuseeduLouvre	LouvreRivoli
LouvreRivoli			Chatelet
Chatelet			HoteldeVille
HoteldeVille			SaintPaul
SaintPaul			Bastille
Bastille			GaredeLyon
GaredeLyon			ReuillyDiderot
ReuillyDiderot			Nation
Nation				PortedeVincennes
PortedeVincennes		SaintMande
SaintMande			Berault
Berault				ChateaudeVincennes

PorteDauphine			VictorHugo		
VictorHugo			CharlesdeGaulleEtoile
CharlesdeGaulleEtoile		Ternes
Ternes				Courcelles	
Courcelles			Monceau
Monceau				Villiers
Villiers			Rome
Rome				PlacedeClichy	
PlacedeClichy			Blanche
Blanche				Pigalle		
Pigalle				Anvers
Anvers				BarbesRochechouart
BarbesRochechouart		LaChapelle
LaChapelle			GareduNord
GareduNord			Stalingrad
Stalingrad			Jaures
Jaures				ColonelFabien
ColonelFabien			Belleville
Belleville			Couronnes	
Couronnes			Menilmontant
Menilmontant			PereLachaise	
PereLachaise			PhilippeAuguste	
PhilippeAuguste			AlexandreDumas
AlexandreDumas			Avron		
Avron				Nation		

PontdeLevalloisBecon		AnatoleFrance		
AnatoleFrance			LouiseMichel	
LouiseMichel			PortedeChamperret
PortedeChamperret		Pereire		
Pereire				Wagram
Wagram				Malesherbes
Malesherbes			Villiers
Villiers			Europe
Europe				SaintLazare
SaintLazare			HavreCaumartin	
HavreCaumartin			Opera
Opera				QuatreSeptembre
QuatreSeptembre			Bourse
Bourse				Sentier
Sentier				ReaumurSebastopol
ReaumurSebastopol		ArtsetMetiers
ArtsetMetiers			Temple
Temple				Republique
Republique			Parmentier
Parmentier			RueSaintMaur
RueSaintMaur			PereLachaise
PereLachaise			Gambetta	
Gambetta			PortedeBagnolet
PortedeBagnolet			Gallieni

PortedesLilas			SaintFargeau
SaintFargeau			Pelleport
Pelleport			Gambetta

PortedeClignancourt		Simplon		
Simplon				MarcadetPoissonniers
MarcadetPoissonniers		ChateauRouge
ChateauRouge			BarbesRochechouart	
BarbesRochechouart		GareduNord
GareduNord			Garedel'Est
Garedel'Est			Chateaud'Eau
Chateaud'Eau			StrasbourgSaintDenis	
StrasbourgSaintDenis		ReaumurSebastopol
ReaumurSebastopol		EtienneMarcel		
EtienneMarcel			LesHalles	
LesHalles			Chatelet
Chatelet			Cite
Cite				SaintMichel
SaintMichel			Odeon
Odeon				SaintGermaindesPres
SaintGermaindesPres		SaintSulpice
SaintSulpice			SaintPlacide
SaintPlacide			MontparnasseBienvenue	
MontparnasseBienvenue		Vavin
Vavin				Raspail	
Raspail				DenfertRochereau
DenfertRochereau		MoutonDuvernet
MoutonDuvernet			Alesia	
Alesia				Ported'Orleans

BobignyPabloPicasso		BobignyPantinRaymondQueneau
BobignyPantinRaymondQueneau	EglisedePantin		
EglisedePantin			Hoche		
Hoche				PortedePantin
PortedePantin			Ourcq	
Ourcq				Laumiere
Laumiere			Jaures			
Jaures				Stalingrad
Stalingrad			GareduNord
GareduNord			Garedel'Est
Garedel'Est			JacquesBonsergent
JacquesBonsergent		Republique		
Republique			Oberkampf
Oberkampf			RichardLenoir
RichardLenoir			BreguetSabin
BreguetSabin			Bastille		
Bastille			QuaidelaRapee
QuaidelaRapee			Gared'Austerlitz	
Gared'Austerlitz		SaintMarcel
SaintMarcel			CampoFormio	
CampoFormio			Placed'Italie

CharlesdeGaulleEtoile		Kleber
Kleber				Boissiere
Boissiere			Trocadero	
Trocadero			Passy
Passy				BirHakeim
BirHakeim			Dupleix	
Dupleix				LaMottePicquetGrenelle
LaMottePicquetGrenelle		Cambronne
Cambronne			SevresLecourbe
SevresLecourbe			Pasteur	
Pasteur				MontparnasseBienvenue
MontparnasseBienvenue		EdgarQuinet
EdgarQuinet			Raspail		
Raspail				DenfertRochereau
DenfertRochereau		SaintJacques		
SaintJacques			Glaciere
Glaciere			Corvisart
Corvisart			Placed'Italie		
Placed'Italie			Nationale
Nationale			Chevaleret
Chevaleret			QuaidelaGare
QuaidelaGare			Bercy		
Bercy				Dugommier
Dugommier			Daumesnil		
Daumesnil			BelAir
BelAir				Picpus	
Picpus				Nation

LaCourneuve8Mai1945		Fortd'Aubervilliers
Fortd'Aubervilliers		AubervilliersPantinQuatreChemins
AubervilliersPantinQuatreChemins	PortedelaVillette		
PortedelaVillette		CorentinCariou	
CorentinCariou			Crimee	
Crimee				Riquet
Riquet				Stalingrad	
Stalingrad			LouisBlanc
LouisBlanc			ChateauLandon
ChateauLandon			Garedel'Est	
Garedel'Est			Poissonniere
Poissonniere			Cadet	
Cadet				LePeletier
LePeletier			Chausseed'AntinLaFayette
Chausseed'AntinLaFayette	Opera
Opera				Pyramides
Pyramides			PalaisRoyalMuseeduLouvre
PalaisRoyalMuseeduLouvre	PontNeuf
PontNeuf			Chatelet	
Chatelet			PontMarie
PontMarie			SullyMorland
SullyMorland			Jussieu		
Jussieu				PlaceMonge
PlaceMonge			CensierDaubenton
CensierDaubenton		LesGobelins
LesGobelins			Placed'Italie
Placed'Italie			Tolbiac	
Tolbiac				MaisonBlanche
MaisonBlanche			Ported'Italie				
Ported'Italie			PortedeChoisy	
PortedeChoisy			Ported'Ivry
Ported'Ivry			PierreetMarieCurie
PierreetMarieCurie		Mairied'Ivry

LouisBlanc			Jaures	
Jaures				Bolivar
Bolivar				ButtesChaumont
ButtesChaumont			Botzaris
Botzaris			PlacedesFetes		
PlacedesFetes			Danube
Danube				PreSaintGervais		

Balard				Lourmel
Lourmel				Boucicaut
Boucicaut			FelixFaure	
FelixFaure			Commerce
Commerce			LaMottePicquetGrenelle
LaMottePicquetGrenelle		EcoleMilitaire
EcoleMilitaire			LaTourMaubourg
LaTourMaubourg			Invalides	
Invalides			Concorde
Concorde			Madeleine
Madeleine			Opera	
