LaDefense	EsplanadedelaDefense
EsplanadedelaDefense	PontdeNeuilly
PontdeNeuilly	LesSablons
LesSablons	PorteMaillot
PorteMaillot	Argentine
Argentine	CharlesdeGaulleEtoile
CharlesdeGaulleEtoile	GeorgeV
GeorgeV	FranklinD.Roosevelt
FranklinD.Roosevelt	ChampsElyseesClemenceau
ChampsElyseesClemenceau	Concorde
Concorde	Tuileries
Tuileries	PalaisRoyalMuseeduLouvre
PalaisRoyalMuseeduLouvre	LouvreRivoli
LouvreRivoli	Chatelet
Chatelet	HoteldeVille
HoteldeVille	SaintPaul
SaintPaul	Bastille
Bastille	GaredeLyon
GaredeLyon	ReuillyDiderot
ReuillyDiderot	Nation
Nation	PortedeVincennes
PortedeVincennes	SaintMande
SaintMande	Berault
Berault	ChateaudeVincennes
