PontdeLevalloisBecon	AnatoleFrance
AnatoleFrance	LouiseMichel
LouiseMichel	PortedeChamperret
PortedeChamperret	Pereire
Pereire	Wagram
Wagram	Malesherbes
Malesherbes	Villiers
Villiers	Europe
Europe	SaintLazare
SaintLazare	HavreCaumartin
HavreCaumartin	Opera
Opera	QuatreSeptembre
QuatreSeptembre	Bourse
Bourse	Sentier
Sentier	ReaumurSebastopol
ReaumurSebastopol	ArtsetMetiers
ArtsetMetiers	Temple
Temple	Republique
Republique	Parmentier
Parmentier	RueSaintMaur
RueSaintMaur	PereLachaise
PereLachaise	Gambetta
Gambetta	PortedeBagnolet
PortedeBagnolet	Gallieni
