PortedeClignancourt	Simplon	
Simplon	MarcadetPoissonniers
MarcadetPoissonniers	ChateauRouge
ChateauRouge	BarbesRochechouart
BarbesRochechouart	GareduNord
GareduNord	Garedel'Est
Garedel'Est	Chateaud'Eau
Chateaud'Eau	StrasbourgSaintDenis
StrasbourgSaintDenis	ReaumurSebastopol
ReaumurSebastopol	EtienneMarcel
EtienneMarcel	LesHalles
LesHalles	Chatelet
Chatelet	Cite
Cite	SaintMichel
SaintMichel	Odeon
Odeon	SaintGermaindesPres
SaintGermaindesPres	SaintSulpice
SaintSulpice	SaintPlacide
SaintPlacide	MontparnasseBienvenue
MontparnasseBienvenue	Vavin
Vavin	Raspail
Raspail	DenfertRochereau
DenfertRochereau	MoutonDuvernet
MoutonDuvernet	Alesia
Alesia	Ported'Orleans
