BobignyPabloPicasso	BobignyPantinRaymondQueneau
BobignyPantinRaymondQueneau	EglisedePantin
EglisedePantin	Hoche
Hoche	PortedePantin
PortedePantin	Ourcq
Ourcq	Laumiere
Laumiere	Jaures
Jaures	Stalingrad
Stalingrad	GareduNord
GareduNord	Garedel'Est
Garedel'Est	JacquesBonsergent
JacquesBonsergent	Republique
Republique	Oberkampf
Oberkampf	RichardLenoir
RichardLenoir	BreguetSabin
BreguetSabin	Bastille
Bastille	QuaidelaRapee
QuaidelaRapee	Gared'Austerlitz
Gared'Austerlitz	SaintMarcel
SaintMarcel	CampoFormio
CampoFormio	Placed'Italie
