LaCourneuve8Mai1945	Fortd'Aubervilliers
Fortd'Aubervilliers	AubervilliersPantinQuatreChemins
AubervilliersPantinQuatreChemins	PortedelaVillette
PortedelaVillette	CorentinCariou
CorentinCariou	Crimee
Crimee	Riquet
Riquet	Stalingrad
Stalingrad	LouisBlanc
LouisBlanc	ChateauLandon
ChateauLandon	Garedel'Est
Garedel'Est	Poissonniere
Poissonniere	Cadet
Cadet	LePeletier
LePeletier	Chausseed'AntinLaFayette
Chausseed'AntinLaFayette	Opera
Opera	Pyramides
Pyramides	PalaisRoyalMuseeduLouvre
PalaisRoyalMuseeduLouvre	PontNeuf
PontNeuf	Chatelet
Chatelet	PontMarie
PontMarie	SullyMorland
SullyMorland	Jussieu
Jussieu	PlaceMonge
PlaceMonge	CensierDaubenton
CensierDaubenton	LesGobelins
LesGobelins	Placed'Italie
Placed'Italie	Tolbiac
Tolbiac	MaisonBlanche
MaisonBlanche	Ported'Italie
Ported'Italie	PortedeChoisy
PortedeChoisy	Ported'Ivry
Ported'Ivry	PierreetMarieCurie
PierreetMarieCurie	Mairied'Ivry
MaisonBlanche	LeKremlinBicetre
LeKremlinBicetre	VillejuifLeoLagrange
VillejuifLeoLagrange	VillejuifPaulVaillantCouturier
VillejuifPaulVaillantCouturier	VillejuifLouisAragon
