PortedelaChapelle	MarxDormoy
MarxDormoy	MarcadetPoissonniers
MarcadetPoissonniers	JulesJoffrin
JulesJoffrin	LamarckCaulaincourt
LamarckCaulaincourt	Abbesses
Abbesses	Pigalle	
Pigalle	SaintGeorges
SaintGeorges	NotreDamedeLorette
NotreDamedeLorette	Trinited'Estienned'Orves
Trinited'Estienned'Orves	SaintLazare
SaintLazare	Madeleine
Madeleine	Concorde
Concorde	AssembleeNationale
AssembleeNationale	Solferino
Solferino	RueduBac
RueduBac	SevresBabylone
SevresBabylone	Rennes
Rennes	NotreDamedesChamps
NotreDamedesChamps	MontparnasseBienvenue
MontparnasseBienvenue	Falguiere
Falguiere	Pasteur
Pasteur	Volontaires
Volontaires	Vaugirard
Vaugirard	Convention
Convention	PortedeVersailles
PortedeVersailles	CorentinCelton
CorentinCelton	Mairied'Issy
