AsnieresGennevilliersLesCourtilles	LesAgnettes
LesAgnettes	GabrielPeri
GabrielPeri	MairiedeClichy
MairiedeClichy	PortedeClichy
PortedeClichy	Brochant
Brochant	LaFourche
SaintDenisUniversite 	BasiliquedeSaintDenis
BasiliquedeSaintDenis 	SaintDenisPortedeParis
SaintDenisPortedeParis	CarrefourPleyel
CarrefourPleyel	MairiedeSaintOuen
MairiedeSaintOuen	Garibaldi
Garibaldi	PortedeSaintOuen
PortedeSaintOuen 	GuyMoquet
GuyMoquet	LaFourche
LaFourche	PlacedeClichy
PlacedeClichy	Liege
Liege	SaintLazare
SaintLazare	Miromesnil
Miromesnil	ChampsElyseesClemenceau
ChampsElyseesClemenceau	Invalides
Invalides	Varenne
Varenne	SaintFrancoisXavier
SaintFrancoisXavier	Duroc
Duroc	MontparnasseBienvenue
MontparnasseBienvenue	Gaite
Gaite	Pernety
Pernety	Plaisance
Plaisance	PortedeVanves
PortedeVanves	MalakoffPlateaudeVanves
MalakoffPlateaudeVanves	MalakoffRueEtienneDolet
MalakoffRueEtienneDolet	ChatillonMontrouge
