PorteDauphine	VictorHugo
VictorHugo	CharlesdeGaulleEtoile
CharlesdeGaulleEtoile	Ternes
Ternes	Courcelles
Courcelles	Monceau
Monceau	Villiers
Villiers	Rome
Rome	PlacedeClichy
PlacedeClichy	Blanche
Blanche	Pigalle	
Pigalle	Anvers
Anvers	BarbesRochechouart
BarbesRochechouart	LaChapelle
LaChapelle	Stalingrad
Stalingrad	Jaures
Jaures	ColonelFabien
ColonelFabien	Belleville
Belleville	Couronnes
Couronnes	Menilmontant
Menilmontant	PereLachaise
PereLachaise	PhilippeAuguste
PhilippeAuguste	AlexandreDumas
AlexandreDumas	Avron
Avron	Nation
