CharlesdeGaulleEtoile	Kleber
Kleber	Boissiere
Boissiere	Trocadero
Trocadero	Passy
Passy	BirHakeim
BirHakeim	Dupleix
Dupleix	LaMottePicquetGrenelle
LaMottePicquetGrenelle	Cambronne
Cambronne	SevresLecourbe
SevresLecourbe	Pasteur
Pasteur	MontparnasseBienvenue
MontparnasseBienvenue	EdgarQuinet
EdgarQuinet	Raspail
Raspail	DenfertRochereau
DenfertRochereau	SaintJacques	
SaintJacques	Glaciere
Glaciere	Corvisart
Corvisart	Placed'Italie
Placed'Italie	Nationale
Nationale	Chevaleret
Chevaleret	QuaidelaGare
QuaidelaGare	Bercy
Bercy	Dugommier
Dugommier	Daumesnil
Daumesnil	BelAir
BelAir	Picpus
Picpus	Nation
