Balard	Lourmel
Lourmel	Boucicaut
Boucicaut	FelixFaure
FelixFaure	Commerce
Commerce	LaMottePicquetGrenelle
LaMottePicquetGrenelle	EcoleMilitaire
EcoleMilitaire	LaTourMaubourg
LaTourMaubourg	Invalides
Invalides	Concorde
Concorde	Madeleine
Madeleine	Opera
Opera	RichelieuDrouot
RichelieuDrouot	GrandsBoulevards
GrandsBoulevards	BonneNouvelle
BonneNouvelle	StrasbourgSaintDenis
StrasbourgSaintDenis	Republique
Republique	FillesduCalvaire
FillesduCalvaire	SaintSebastienFroissart
SaintSebastienFroissart	CheminVert
CheminVert	Bastille
Bastille	LedruRollin
LedruRollin	FaidherbeChaligny
FaidherbeChaligny	ReuillyDiderot
ReuillyDiderot	Montgallet
Montgallet	Daumesnil
Daumesnil	MichelBizot
MichelBizot	PorteDoree
PorteDoree	PortedeCharenton
PortedeCharenton	Liberte
Liberte	CharentonEcoles
CharentonEcoles	EcoleVeterinairedeMaisonsAlfort
EcoleVeterinairedeMaisonsAlfort	MaisonsAlfortStade
MaisonsAlfortStade	MaisonsAlfortLesJuilliottes
MaisonsAlfortLesJuilliottes	CreteilL'Echat
CreteilL'Echat	CreteilUniversite
CreteilUniversite	CreteilPrefecture
