PontdeSevres	Billancourt
Billancourt	MarcelSembat
MarcelSembat	PortedeSaintCloud
PortedeSaintCloud	Exelmans
Exelmans	MichelAngeMolitor
MichelAngeMolitor	MichelAngeAuteuil
MichelAngeAuteuil	Jasmin
Jasmin	Ranelagh
Ranelagh	LaMuette
LaMuette	RuedelaPompe
RuedelaPompe	Trocadero
Trocadero	Iena
Iena	AlmaMarceau
AlmaMarceau	FranklinD.Roosevelt
FranklinD.Roosevelt	SaintPhilippeduRoule
SaintPhilippeduRoule	Miromesnil
Miromesnil	SaintAugustin
SaintAugustin	HavreCaumartin
HavreCaumartin	Chausseed'AntinLaFayette
Chausseed'AntinLaFayette	RichelieuDrouot
RichelieuDrouot	GrandsBoulevards
GrandsBoulevards	BonneNouvelle
BonneNouvelle	StrasbourgSaintDenis
StrasbourgSaintDenis	Republique
Republique	Oberkampf
Oberkampf	SaintAmbroise
SaintAmbroise	Voltaire
Voltaire	Charonne
Charonne	RuedesBoulets
RuedesBoulets	Nation
Nation	Buzenval
Buzenval	Maraichers
Maraichers	PortedeMontreuil
PortedeMontreuil	Robespierre
Robespierre	CroixdeChavaux
CroixdeChavaux	MairiedeMontreuil
