name-of-station	name-of-line	year		
Bokjeong	Line 8	1996	37.470166	127.126676
Bokjeong	Bundang	1994	37.470166	127.126676
Bulgwang	Line 3	1985	37.610913	126.929496
Bulgwang	Line 6	2000	37.610913	126.929496
Bupyeong	Line 1	1974	37.489591	126.723387
Bupyeong	Incheon	1999	37.489591	126.723387
Chang-dong	Line 1	1986	37.6525	127.046944
Chang-dong	Line 4	1985	37.6525	127.046944
Cheonggu	Line 5	1996	37.560211	127.013755
Cheonggu	Line 6	2000	37.560211	127.013755
Cheongnyangni	Line 1	1974	37.58	127.045
Cheongnyangni	Jungang	2005	37.579167	127.046667
Cheonho	Line 5	1995	37.538517	127.123767
Cheonho	Line 8	1999	37.538517	127.123767
Chungjeongno	Line 2	1984	37.56	126.963611
Chungjeongno	Line 5	1996	37.56	126.963611
CityHall	Line 1	1974	37.564722	126.976944
CityHall	Line 2	1984	37.564722	126.976944
CityHall	Line 2	1984	37.564722	126.976944
Daegok	Line 3	1996	37.630875	126.810533
Daegok	Gyeongui	2009	37.630875	126.810533
Daerim	Line 2	1984	37.493333	126.895
Daerim	Line 7	2000	37.493333	126.895
DigitalMediaCity	Line 6	2000	37.576874	126.901794
DigitalMediaCity	Gyeongui	2009	37.576649	126.901413
Dobongsan	Line 1	1986	37.689444	127.045833
Dobongsan	Line 7	1996	37.689444	127.045833
Dogok	Line 3	1993	37.490868	127.055351
Dogok	Bundang	2003	37.490868	127.055351
Dongdaemun	Line 1	1974	37.570556	127.008333
Dongdaemun	Line 4	1985	37.570556	127.008333
DongdaemunStadium	Line 2	1983	37.565	127.007778
DongdaemunStadium	Line 4	1985	37.565	127.007778
DongdaemunStadium	Line 5	1996	37.565	127.007778
Dongmyo	Line 1	1974	37.572963	127.015622
Dongmyo	Line 6	2000	37.572963	127.015622
Euljiro3-ga	Line 2	1983	37.566294	126.992781
Euljiro3-ga	Line 3	1985	37.566294	126.992781
Euljiro4-ga	Line 2	1983	37.566667	126.998056
Euljiro4-ga	Line 5	1996	37.566667	126.998056
ExpressBusTerminal	Line 3	1985	37.504913	127.004909
ExpressBusTerminal	Line 7	2000	37.503492	127.004684
GasanDigitalComplex	Line 1	1979	37.480465	126.88304
GasanDigitalComplex	Line 7	2000	37.480465	126.88304
Gongdeok	Line 5	1996	37.543876	126.95098
Gongdeok	Line 6	2000	37.543876	126.95098
Gunja	Line 5	1995	37.557124	127.079469
Gunja	Line 7	1996	37.557124	127.079469
Hapjeong	Line 2	1984	37.549167	126.913611
Hapjeong	Line 6	2000	37.549167	126.913611
Hoegi	Line 1	1980	37.589167	127.057222
Hoegi	Jungang	2005	37.589167	127.057222
Ichon	Line 4	1985	37.52254	126.97316
Ichon	Jungang	2005	37.52254	126.97316
Isu-ChongshinUniversity	Line 4	1985	37.485394	126.982158
Isu-ChongshinUniversity	Line 7	2000	37.485394	126.982158
Jamsil	Line 2	1980	37.513333	127.100278
Jamsil	Line 8	1996	37.513333	127.100278
Jongno3-ga	Line 1	1974	37.57	126.991667
Jongno3-ga	Line 3	1985	37.57	126.991667
Jongno3-ga	Line 5	1996	37.57	126.991667
KonkukUniversity	Line 2	1980	37.539933	127.070607
KonkukUniversity	Line 7	1996	37.539933	127.070607
Moran	Line 8	1996	37.433572	127.128848
Moran	Bundang	1994	37.431389	127.129722
Nowon	Line 4	1985	37.65636	127.063553
Nowon	Line 7	1996	37.65439	127.060516
Onsu	Line 1	1988	37.492171	126.822712
Onsu	Line 7	2000	37.492171	126.822712
Sadang	Line 2	1983	37.476389	126.981667
Sadang	Line 4	1985	37.476389	126.981667
Samgakji	Line 4	1985	37.535543	126.973956
Samgakji	Line 6	2000	37.535543	126.973956
Seokgye	Line 1	1985	37.614722	127.065278
Seokgye	Line 6	2000	37.614722	127.065278
Seolleung	Line 2	1982	37.50445	127.048986
Seolleung	Bundang	2003	37.50445	127.048986
SeoulNatlUnivofEduc	Line 2	1982	37.493611	127.013611
SeoulNatlUnivofEduc	Line 3	1985	37.493611	127.013611
SeoulStation	Line 1	1974	37.555023	126.972449
SeoulStation	Line 4	1985	37.555023	126.972449
Sindang	Line 2	1983	37.565331	127.016217
Sindang	Line 6	2000	37.565331	127.016217
Singil	Line 1	1998	37.516944	126.9175
Singil	Line 5	1996	37.516944	126.9175
Sinseol-dong	Line 1	1974	37.574444	127.022778
Sinseol-dong	Line 2	1980	37.574444	127.022778
Suseo	Line 3	1993	37.487305	127.101619
Suseo	Bundang	1994	37.487305	127.101619
Taereung	Line 6	2000	37.617631	127.075617
Taereung	Line 7	1996	37.617631	127.075617
Wangsimni	Line 2	1983	37.561667	127.037778
Wangsimni	Line 5	1995	37.561667	127.037778
Wangsimni	Jungang	2005	37.561667	127.037778
Yaksu	Line 3	1985	37.554759	127.010611
Yaksu	Line 6	2001	37.554759	127.010611
Yangpyeong	Line 5	1996	37.525579	126.886109
Yangpyeong	Jungang	2009	37.492805	127.49181
Yeongdeungpo-guOffice	Line 2	1984	37.524039	126.89622
Yeongdeungpo-guOffice	Line 5	1996	37.524039	126.89622
Yeonsinnae	Line 3	1985	37.618825	126.921358
Yeonsinnae	Line 6	2000	37.618825	126.921358
Yongsan	Line 1	1984	37.53	126.964722
Yongsan	Jungang	2005	37.53	126.964722
