Soyosan	Dongducheon
Dongducheon	Bosan
Bosan	Dongducheonjungang
Dongducheonjungang	Jihaeng
Jihaeng	Deokjeong
Deokjeong	Deokgye
Deokgye	Yangju
Yangju	Nogyang
Nogyang	Ganeung
Ganeung	Uijeongbu
Uijeongbu	Hoeryong
Hoeryong	Mangwolsa
Mangwolsa	Dobongsan
Dobongsan	Dobong
Dobong	Banghak
Banghak	Chang-dong
Chang-dong	Nokcheon
Nokcheon	Wolgye
Wolgye	Seongbuk
Seongbuk	Seokgye
Seokgye	Sinimun
Sinimun	HankukUniversity
HankukUniversity	Hoegi
Hoegi	Cheongnyangni
Cheongnyangni	Jegi-dong
Jegi-dong	Sinseol-dong
Sinseol-dong	Dongmyo
Dongmyo	Dongdaemun
Dongdaemun	Jongno5-ga
Jongno5-ga	Jongno3-ga
Jongno3-ga	Jonggak
Jonggak	CityHall
CityHall	SeoulStation
SeoulStation	Namyeong
Namyeong	Yongsan
Yongsan	Noryangjin
Noryangjin	Daebang
Daebang	Singil
Singil	Yeongdeungpo
Yeongdeungpo	Sindorim
Sindorim	Guro
Guro	Guil
Guro	GasanDigitalComplex
Guil	Gaebong
Gaebong	Oryu-dong
Oryu-dong	Onsu
Onsu	Yeokgok
Yeokgok	Sosa
Sosa	Bucheon
Bucheon	Jung-dong
Jung-dong	Songnae
Songnae	Bugae
Bugae	Bupyeong
Bupyeong	Baegun
Baegun	Dongam
Dongam	Ganseok
Ganseok	Juan
Juan	Dohwa
Dohwa	Jemulpo
Jemulpo	Dowon
Dowon	Dongincheon
Dongincheon	Incheon
GasanDigitalComplex	Doksan
Doksan	Geumcheon-guOffice
Geumcheon-guOffice	Seoksu
Seoksu	Gwanak
Gwanak	Anyang
Anyang	Myeonghak
Myeonghak	Geumjeong
Geumjeong	Gunpo
Gunpo	Bugok
Bugok	SungkyunkwanUniversity
SungkyunkwanUniversity	Hwaseo
Hwaseo	Suwon
Suwon	Seryu
Seryu	Byeongjeom
Byeongjeom	Sema
Sema	OsanCollege
OsanCollege	Osan
Osan	Jinwi
Jinwi	Songtan
Songtan	Seojeong-ri
Seojeong-ri	Jije
Jije	Pyeongtaek
Pyeongtaek	Seonghwan
Seonghwan	Jiksan
Jiksan	Dujeong
Dujeong	Cheonan
Cheonan	Bongmyeong
Bongmyeong	Ssangyong
Ssangyong	Cheonan-Asan
Cheonan-Asan	Baebang
Baebang	Onyangoncheon
Onyangoncheon	Sinchang
