CityHall	Euljiro1-ga
Euljiro1-ga	Euljiro3-ga
Euljiro3-ga	Euljiro4-ga
Euljiro4-ga	DongdaemunStadium
DongdaemunStadium	Sindang
Sindang	Sangwangsimni
Sangwangsimni	Wangsimni
Wangsimni	HanyangUniversity
HanyangUniversity	Ttukseom
Ttukseom	Seongsu
Seongsu	KonkukUniversity
KonkukUniversity	Guui
Guui	Gangbyeon
Gangbyeon	Seongnae
Seongnae	Jamsil
Jamsil	Sincheon
Sincheon	SportsComplex
SportsComplex	Samseong
Samseong	Seolleung
Seolleung	Yeoksam
Yeoksam	Gangnam
Gangnam	SeoulNatlUnivofEduc
SeoulNatlUnivofEduc	Seocho
Seocho	Bangbae
Bangbae	Sadang
Sadang	Nakseongdae
Nakseongdae	SeoulNationalUniversity
SeoulNationalUniversity	Bongcheon
Bongcheon	Sillim
Sillim	Sindaebang
Sindaebang	GuroDigitalComplex
GuroDigitalComplex	Daerim
Daerim	Sindorim
Sindorim	Mullae
Mullae	Yeongdeungpo-guOffice
Yeongdeungpo-guOffice	Dangsan
Dangsan	Hapjeong
Hapjeong	HongikUniversity
HongikUniversity	Sinchon
Sinchon	EwhaWomansUniversity
EwhaWomansUniversity	Ahyeon
Ahyeon	Chungjeongno
Chungjeongno	CityHall
Seongsu	Yongdap
Yongdap	Sindap
Sindap	Yongdu
Yongdu	Sinseol-dong
Sindorim	Dorimcheon
Dorimcheon	Yangcheon-guOffice
Yangcheon-guOffice	Sinjeongnegeori
Sinjeongnegeori	Kkachisan
