Daehwa	Juyeop
Juyeop	Jeongbalsan
Jeongbalsan	Madu
Madu	Baekseok
Baekseok	Daegok
Daegok	Hwajeong
Hwajeong	Wondang
Wondang	Samsong
Samsong	Jichuk
Jichuk	Gupabal
Gupabal	Yeonsinnae
Yeonsinnae	Bulgwang
Bulgwang	Nokbeon
Nokbeon	Hongje
Hongje	Muakjae
Muakjae	Dongnimmun
Dongnimmun	Gyeongbokgung
Gyeongbokgung	Anguk
Anguk	Jongno3-ga
Jongno3-ga	Euljiro3-ga
Euljiro3-ga	Chungmuro
Chungmuro	DonggukUniversity
DonggukUniversity	Yaksu
Yaksu	Geumho
Geumho	Oksu
Oksu	Apgujeong
Apgujeong	Sinsa
Sinsa	Jamwon
Jamwon	ExpressBusTerminal
ExpressBusTerminal	SeoulNatlUnivofEduc
SeoulNatlUnivofEduc	NambuBusTerminal
NambuBusTerminal	Yangjae
Yangjae	Maebong
Maebong	Dogok
Dogok	Daechi
Daechi	Hangnyeoul
Hangnyeoul	Daecheong
Daecheong	Irwon
Irwon	Suseo
