Danggogae	Sanggye
Sanggye	Nowon
Nowon	Chang-dong
Chang-dong	Ssangmun
Ssangmun	Suyu
Suyu	Mia
Mia	Miasamgeori
Miasamgeori	Gireum
Gireum	SungshinWomensUniv
SungshinWomensUniv	HansungUniversity
HansungUniversity	Hyehwa
Hyehwa	Dongdaemun
Dongdaemun	DongdaemunStadium
DongdaemunStadium	Chungmuro
Chungmuro	Myeong-dong
Myeong-dong	Hoehyeon
Hoehyeon	SeoulStation
SeoulStation	SookmyungWomensUniv
SookmyungWomensUniv	Samgakji
Samgakji	Sinyongsan
Sinyongsan	Ichon
Ichon	Dongjak
Dongjak	Isu-ChongshinUniversity
Isu-ChongshinUniversity	Sadang
Sadang	Namtaeryeong
Namtaeryeong	Seonbawi
Seonbawi	SeoulRacecoursePark
SeoulRacecoursePark	SeoulGrandPark
SeoulGrandPark	Gwacheon
Gwacheon	GovernmentComplexGwacheon
GovernmentComplexGwacheon	Indeogwon
Indeogwon	Pyeongchon
Pyeongchon	Beomgye
Beomgye	Geumjeong
Geumjeong	Sanbon
Sanbon	Surisan
Surisan	Daeyami
Daeyami	Banwol
Banwol	Sangnoksu
Sangnoksu	HanyangUniv-Ansan
HanyangUniv-Ansan	Jungang
Jungang	Gojan
Gojan	Gongdan
Gongdan	Ansan
Ansan	SingilOncheon
SingilOncheon	Jeongwang
Jeongwang	Oido
