Banghwa	Gaehwasan
Gaehwasan	GimpoAirport
GimpoAirport	Songjeong
Songjeong	Magok
Magok	Balsan
Balsan	Ujangsan
Ujangsan	Hwagok
Hwagok	Kkachisan
Kkachisan	Sinjeong
Sinjeong	Mok-dong
Mok-dong	Omokgyo
Omokgyo	YangpyeongL5
YangpyeongL5	Yeongdeungpo-guOffice
Yeongdeungpo-guOffice	YeongdeungpoMarket
YeongdeungpoMarket	Singil
Singil	Yeouido
Yeouido	Yeouinaru
Yeouinaru	Mapo
Mapo	Gongdeok
Gongdeok	Aeogae
Aeogae	Chungjeongno
Chungjeongno	Seodaemun
Seodaemun	Gwanghwamun
Gwanghwamun	Jongno3-ga
Jongno3-ga	Euljiro4-ga
Euljiro4-ga	DongdaemunStadium
DongdaemunStadium	Cheonggu
Cheonggu	Singeumho
Singeumho	Haengdang
Haengdang	Wangsimni
Wangsimni	Majang
Majang	Dapsimni
Dapsimni	Janghanpyeong
Janghanpyeong	Gunja
Gunja	Achasan
Achasan	Gwangnaru
Gwangnaru	Cheonho
Cheonho	Gangdong
Gangdong	Gil-dong
Gangdong	Dunchon-dong
Gil-dong	Gubeundari
Gubeundari	Myeongil
Myeongil	Godeok
Godeok	Sangil-dong
Dunchon-dong	OlympicPark
OlympicPark	Bangi
Bangi	Ogeum
Ogeum	Gaerong
Gaerong	Geoyeo
Geoyeo	Macheon
