Jangam	Dobongsan
Dobongsan	Suraksan
Suraksan	Madeul
Madeul	Nowon
Nowon	Junggye
Junggye	Hagye
Hagye	Gongneung
Gongneung	Taereung
Taereung	Meokgol
Meokgol	Junghwa
Junghwa	Sangbong
Sangbong	Myeonmok
Myeonmok	Sagajeong
Sagajeong	Yongmasan
Yongmasan	Junggok
Junggok	Gunja
Gunja	ChildrensGrandPark
ChildrensGrandPark	KonkukUniversity
KonkukUniversity	TtukseomResort
TtukseomResort	Cheongdam
Cheongdam	Gangnam-guOffice
Gangnam-guOffice	Hak-dong
Hak-dong	Nonhyeon
Nonhyeon	Banpo
Banpo	ExpressBusTerminal
ExpressBusTerminal	Naebang
Naebang	Isu-ChongshinUniversity
Isu-ChongshinUniversity	Namseong
Namseong	SoongsilUniversity
SoongsilUniversity	Sangdo
Sangdo	Jangseungbaegi
Jangseungbaegi	Sindaebangsamgeori
Sindaebangsamgeori	Boramae
Boramae	Sinpung
Sinpung	Daerim
Daerim	Namguro
Namguro	GasanDigitalComplex
GasanDigitalComplex	Cheolsan
Cheolsan	Gwangmyeongsageori
Gwangmyeongsageori	Cheonwang
Cheonwang	Onsu
