Gyeyang	Gyulhyeon
Gyulhyeon	Bakchon
Bakchon	Imhak
Imhak	Gyesan
Gyesan	GyeonginNationalUniversity
GyeonginNationalUniversity	Jakjeon
Jakjeon	Galsan
Galsan	Bupyeong-guOffice
Bupyeong-guOffice	BupyeongMarket
BupyeongMarket	Bupyeong
Bupyeong	Dongsu
Dongsu	Bupyeongsamgeori
Bupyeongsamgeori	Ganseogogeori
Ganseogogeori	IncheonCityHall
IncheonCityHall	ArtsCenter
ArtsCenter	IncheonBusTerminal
IncheonBusTerminal	MunhakSportsComplex
MunhakSportsComplex	Seonhak
Seonhak	Sinyeonsu
Sinyeonsu	Woninjae
Woninjae	Dongchun
Dongchun	Dongmak
Dongmak	CampusTown
CampusTown	Technopark
Technopark	BITZone
BITZone	UniversityofIncheon
UniversityofIncheon	CentralPark
CentralPark	InternationalBusinessDistrict
