FujinRoad	WestYouyiRoad
WestYouyiRoad	BaoanHighway
BaoanHighway	GongfuXincun
GongfuXincun	HulanRoad
HulanRoad	TongheXincun
TongheXincun	GongkangRoad
GongkangRoad	PengpuXincun
PengpuXincun	WenshuiRoad
WenshuiRoad	ShanghaiCircusWorld
ShanghaiCircusWorld	YanchangRoad
YanchangRoad	NorthZhongshanRoad
NorthZhongshanRoad	ShanghaiRailwayStation
ShanghaiRailwayStation	HanzhongRoad
HanzhongRoad	XinzhaRoad
XinzhaRoad	PeoplesSquare
PeoplesSquare	SouthHuangpiRoad
SouthHuangpiRoad	SouthShaanxiRoad
SouthShaanxiRoad	ChangshuRoad
ChangshuRoad	HengshanRoad
HengshanRoad	Xujiahui
Xujiahui	ShanghaiIndoorStadium
ShanghaiIndoorStadium	CaobaoRoad
CaobaoRoad	ShanghaiSouthRailwayStation
ShanghaiSouthRailwayStation	JinjiangPark
JinjiangPark	LianhuaRoad
LianhuaRoad	OuterRingRoad
OuterRingRoad	Xinzhuang
