Xinjiangwancheng	EastYingaoRoad
EastYingaoRoad	SanmenRoad
SanmenRoad	JiangwanStadium
JiangwanStadium	Wujiaochang
Wujiaochang	GuoquanRoad
GuoquanRoad	TongjiUniversity
TongjiUniversity	SipingRoad
SipingRoad	YoudianXincun
YoudianXincun	HailunRoad
HailunRoad	NorthSichuanRoad
NorthSichuanRoad	TiantongRoad
TiantongRoad	EastNanjingRoad
EastNanjingRoad	YuyuanGarden
YuyuanGarden	Laoximen
Laoximen	Xintiandi
Xintiandi	SouthShaanxiRoad
SouthShaanxiRoad	ShanghaiLibrary
ShanghaiLibrary	JiaoTongUniversity
JiaoTongUniversity	HongqiaoRoad
HongqiaoRoad	SongyuanRoad
SongyuanRoad	YiliRoad
YiliRoad	ShuichengRoad
ShuichengRoad	LongxiRoad
LongxiRoad	ShanghaiZoo
ShanghaiZoo	HongqiaoAirportTerminal1
HongqiaoAirportTerminal1	HongqiaoAirportTerminal2
HongqiaoAirportTerminal2	HongqiaoRailwayStation
LongxiRoad	LongbaiXincun
LongbaiXincun	ZitengRoad
ZitengRoad	HangzhongRoad
