EastXujing	HongqiaoRailwayStation
HongqiaoRailwayStation	HongqiaoAirportTerminal2
HongqiaoAirportTerminal2	SonghongRoad
SonghongRoad	Beixinjing
Beixinjing	WeiningRoad
WeiningRoad	LoushanguanRoad
LoushanguanRoad	ZhongshanPark
ZhongshanPark	JiangsuRoad
JiangsuRoad	JinganTemple
JinganTemple	WestNanjingRoad
WestNanjingRoad	PeoplesSquare
PeoplesSquare	EastNanjingRoad
EastNanjingRoad	Lujiazui
Lujiazui	DongchangRoad
DongchangRoad	CenturyAvenue
CenturyAvenue	ShanghaiScienceandTechnologyMuseum
ShanghaiScienceandTechnologyMuseum	CenturyPark
CenturyPark	LongyangRoad
LongyangRoad	ZhangjiangHi-TechPark
ZhangjiangHi-TechPark	JinkeRoad
JinkeRoad	GuanglanRoad
GuanglanRoad	Tangzhen
Tangzhen	MiddleChuangxinRoad
MiddleChuangxinRoad	EastHuaxiaRoad
EastHuaxiaRoad	Chuansha
Chuansha	LingkongRoad
LingkongRoad	YuandongAvenue
YuandongAvenue	HaitiansanRoad
HaitiansanRoad	PudongInternationalAirport
