NorthJiangyangRoad	TieliRoad
TieliRoad	YouyiRoad
YouyiRoad	BaoyangRoad
BaoyangRoad	ShuichanRoad
ShuichanRoad	SongbinRoad
SongbinRoad	Zhanghuabang
Zhanghuabang	SongfaRoad
SongfaRoad	SouthChangjiangRoad
SouthChangjiangRoad	WestYingaoRoad
WestYingaoRoad	JiangwanTown
JiangwanTown	Dabaishu
Dabaishu	ChifengRoad
ChifengRoad	HongkouFootballStadium
HongkouFootballStadium	DongbaoxingRoad
DongbaoxingRoad	BaoshanRoad
BaoshanRoad	ShanghaiRailwayStation
ShanghaiRailwayStation	ZhongtanRoad
ZhongtanRoad	ZhenpingRoad
ZhenpingRoad	CaoyangRoad
CaoyangRoad	JinshajiangRoad
JinshajiangRoad	ZhongshanPark
ZhongshanPark	WestYananRoad
WestYananRoad	HongqiaoRoad
HongqiaoRoad	YishanRoad
YishanRoad	CaoxiRoad
CaoxiRoad	LongcaoRoad
LongcaoRoad	ShilongRoad
ShilongRoad	ShanghaiSouthRailwayStation
