YishanRoad	ShanghaiIndoorStadium
ShanghaiIndoorStadium	ShanghaiStadium
ShanghaiStadium	DonganRoad
DonganRoad	DamuqiaoRoad
DamuqiaoRoad	LubanRoad
LubanRoad	SouthXizangRoad
SouthXizangRoad	NanpuBridge
NanpuBridge	Tangqiao
Tangqiao	LancunRoad
LancunRoad	PudianRoad2
PudianRoad2	CenturyAvenue
CenturyAvenue	PudongAvenue
PudongAvenue	YangshupuRoad
YangshupuRoad	DalianRoad
DalianRoad	LinpingRoad
LinpingRoad	HailunRoad
HailunRoad	BaoshanRoad
BaoshanRoad	ShanghaiRailwayStation
ShanghaiRailwayStation	ZhongtanRoad
ZhongtanRoad	ZhenpingRoad
ZhenpingRoad	CaoyangRoad
CaoyangRoad	JinshajiangRoad
JinshajiangRoad	ZhongshanPark
ZhongshanPark	WestYananRoad
WestYananRoad	HongqiaoRoad
HongqiaoRoad	YishanRoad
