GangchengRoad	NorthWaigaoqiaoFreeTradeZone
NorthWaigaoqiaoFreeTradeZone	HangjinRoad
HangjinRoad	SouthWaigaoqiaoFreeTradeZone
SouthWaigaoqiaoFreeTradeZone	ZhouhaiRoad
ZhouhaiRoad	WuzhouAvenue
WuzhouAvenue	DongjingRoad
DongjingRoad	JufengRoad
JufengRoad	WulianRoad
WulianRoad	BoxingRoad
BoxingRoad	JinqiaoRoad
JinqiaoRoad	YunshanRoad
YunshanRoad	DepingRoad
DepingRoad	BeiyangjingRoad
BeiyangjingRoad	MinshengRoad
MinshengRoad	YuanshenStadium
YuanshenStadium	CenturyAvenue
CenturyAvenue	PudianRoad
PudianRoad	LancunRoad
LancunRoad	ShanghaiChildrensMedicalCenter
ShanghaiChildrensMedicalCenter	LinyiXincun
LinyiXincun	WestGaokeRoad
WestGaokeRoad	DongmingRoad
DongmingRoad	GaoqingRoad
GaoqingRoad	WestHuaxiaRoad
WestHuaxiaRoad	ShangnanRoad
ShangnanRoad	SouthLingyanRoad
SouthLingyanRoad	JiyangRoad
