MeilanLake	LuonanXincun
LuonanXincun	GucunPark
GucunPark	ShanghaiUniversity
ShanghaiUniversity	NanchenRoad
NanchenRoad	ShangdaRoad
ShangdaRoad	ChangzhongRoad
ChangzhongRoad	DachangTown
DachangTown	XingzhiRoad
XingzhiRoad	DahuasanRoad
DahuasanRoad	XincunRoad
XincunRoad	LangaoRoad
LangaoRoad	ZhenpingRoad
ZhenpingRoad	ChangshouRoad
ChangshouRoad	ChangpingRoad
ChangpingRoad	JinganTemple
JinganTemple	ChangshuRoad
ChangshuRoad	ZhaojiabangRoad
ZhaojiabangRoad	DonganRoad
DonganRoad	ChuanchangRoad
ChuanchangRoad	Houtan
Houtan	ChangqingRoad
ChangqingRoad	YaohuaRoad
YaohuaRoad	YuntaiRoad
YuntaiRoad	WestGaokeRoad
WestGaokeRoad	SouthYanggaoRoad
SouthYanggaoRoad	JinxiuRoad
JinxiuRoad	FanghuaRoad
FanghuaRoad	LongyangRoad
LongyangRoad	HuamuRoad
