ShiguangRoad	NenjiangRoad
NenjiangRoad	XiangyinRoad
XiangyinRoad	HuangxingPark
HuangxingPark	MiddleYanjiRoad
MiddleYanjiRoad	HuangxingRoad
HuangxingRoad	JiangpuRoad
JiangpuRoad	AnshanXincun
AnshanXincun	SipingRoad
SipingRoad	QuyangRoad
QuyangRoad	HongkouFootballStadium
HongkouFootballStadium	NorthXizangRoad
NorthXizangRoad	ZhongxingRoad
ZhongxingRoad	QufuRoad
QufuRoad	PeoplesSquare
PeoplesSquare	Dashijie
Dashijie	Laoximen
Laoximen	LujiabangRoad
LujiabangRoad	SouthXizangRoad
SouthXizangRoad	YaohuaRoad
YaohuaRoad	ChengshanRoad
ChengshanRoad	Yangsi
Yangsi	JiyangRoad
JiyangRoad	LingzhaoXincun
LingzhaoXincun	LuhengRoad
LuhengRoad	PujiangTown
PujiangTown	JiangyueRoad
JiangyueRoad	LianhangRoad
LianhangRoad	AerospaceMuseum
