"nodeID_from","nodeID_to","line","year"
46,49,"Line1",1936
46,51,"Line1",1936
3,53,"Line1",1936
53,80,"Line1",1936
26,59,"Line1",1936
59,75,"Line1",1936
26,49,"Line1",1936
51,113,"Line1",1936
3,75,"Line1",1936
3,75,"Line3",1936
46,49,"Line1",1937
46,51,"Line1",1937
3,53,"Line1",1937
53,80,"Line1",1937
26,59,"Line1",1937
59,75,"Line1",1937
26,49,"Line1",1937
51,113,"Line1",1937
3,75,"Line1",1937
3,75,"Line3",1937
46,49,"Line1",1938
46,51,"Line1",1938
3,53,"Line1",1938
53,80,"Line1",1938
26,59,"Line1",1938
59,75,"Line1",1938
26,49,"Line1",1938
51,113,"Line1",1938
3,75,"Line1",1938
3,75,"Line3",1938
46,49,"Line1",1939
46,51,"Line1",1939
3,53,"Line1",1939
53,80,"Line1",1939
15,63,"Line2",1939
63,75,NA,1939
26,59,"Line1",1939
59,75,"Line1",1939
1,28,"Line2",1939
15,28,"Line2",1939
1,112,"Line2",1939
26,49,"Line1",1939
51,113,"Line1",1939
3,75,"Line1",1939
3,75,"Line3",1939
46,49,"Line1",1940
46,51,"Line1",1940
3,53,"Line1",1940
53,80,"Line1",1940
15,63,"Line2",1940
63,75,NA,1940
26,59,"Line1",1940
59,75,"Line1",1940
1,28,"Line2",1940
15,28,"Line2",1940
1,112,"Line2",1940
26,49,"Line1",1940
51,113,"Line1",1940
3,75,"Line1",1940
3,75,"Line3",1940
46,49,"Line1",1941
46,51,"Line1",1941
3,53,"Line1",1941
53,80,"Line1",1941
15,63,"Line2",1941
63,75,NA,1941
26,59,"Line1",1941
59,75,"Line1",1941
1,28,"Line2",1941
15,28,"Line2",1941
1,112,"Line2",1941
26,49,"Line1",1941
51,113,"Line1",1941
3,75,"Line1",1941
3,75,"Line3",1941
46,49,"Line1",1942
46,51,"Line1",1942
3,53,"Line1",1942
53,80,"Line1",1942
15,63,"Line2",1942
63,75,NA,1942
26,59,"Line1",1942
59,75,"Line1",1942
1,28,"Line2",1942
15,28,"Line2",1942
1,112,"Line2",1942
26,49,"Line1",1942
51,113,"Line1",1942
3,75,"Line1",1942
3,75,"Line3",1942
46,49,"Line1",1943
46,51,"Line1",1943
3,53,"Line1",1943
53,80,"Line1",1943
15,63,"Line2",1943
63,75,NA,1943
26,59,"Line1",1943
59,75,"Line1",1943
1,28,"Line2",1943
15,28,"Line2",1943
1,112,"Line2",1943
26,49,"Line1",1943
51,113,"Line1",1943
3,75,"Line1",1943
3,75,"Line3",1943
73,75,"Line2",1944
73,83,"Line2",1944
46,49,"Line1",1944
46,51,"Line1",1944
3,53,"Line1",1944
53,80,"Line1",1944
15,63,"Line2",1944
63,75,NA,1944
26,59,"Line1",1944
59,75,"Line1",1944
1,28,"Line2",1944
15,28,"Line2",1944
1,112,"Line2",1944
9,83,"Line2",1944
26,49,"Line1",1944
51,113,"Line1",1944
3,75,"Line1",1944
3,75,"Line3",1944
73,75,"Line2",1945
73,83,"Line2",1945
46,49,"Line1",1945
46,51,"Line1",1945
26,49,"Line1",1945
26,59,"Line1",1945
13,33,"Line3",1945
33,103,"Line3",1945
53,80,"Line1",1945
13,27,"Line3",1945
9,83,"Line2",1945
59,75,"Line1",1945
1,28,"Line2",1945
15,28,"Line2",1945
82,103,"Line3",1945
1,112,"Line2",1945
3,75,"Line1",1945
3,75,"Line3",1945
27,75,"Line3",1945
63,75,NA,1945
3,53,"Line1",1945
15,63,"Line2",1945
51,113,"Line1",1945
73,75,"Line2",1946
73,83,"Line2",1946
46,49,"Line1",1946
46,51,"Line1",1946
26,49,"Line1",1946
26,59,"Line1",1946
13,33,"Line3",1946
33,103,"Line3",1946
53,80,"Line1",1946
13,27,"Line3",1946
9,83,"Line2",1946
59,75,"Line1",1946
1,28,"Line2",1946
15,28,"Line2",1946
82,103,"Line3",1946
1,112,"Line2",1946
3,75,"Line1",1946
3,75,"Line3",1946
27,75,"Line3",1946
63,75,NA,1946
3,53,"Line1",1946
15,63,"Line2",1946
51,113,"Line1",1946
73,75,"Line2",1947
73,83,"Line2",1947
46,49,"Line1",1947
46,51,"Line1",1947
26,49,"Line1",1947
26,59,"Line1",1947
13,33,"Line3",1947
33,103,"Line3",1947
53,80,"Line1",1947
